,Label,Zero Shot Score Raw,Classified Text
0,sustainability,"[0.48174238204956055, 0.36071550846099854, 0.3615308105945587, 0.34105023741722107, 0.3172609806060791, 0.4091465175151825, 0.6693582534790039, 0.46916481852531433, 0.4124595522880554, 0.34890952706336975, 0.5199263095855713, 0.3221060037612915, 0.29104259610176086, 0.29255834221839905, 0.42996248602867126, 0.3263251781463623, 0.3074856102466583, 0.3464808464050293, 0.2696605324745178, 0.31466665863990784, 0.5193631649017334, 0.2552351653575897, 0.6005181670188904, 0.7374498844146729, 0.3149898946285248, 0.4468931257724762, 0.3916502296924591, 0.4989997446537018, 0.28599926829338074, 0.3034262955188751, 0.4876779019832611, 0.37488171458244324, 0.37761053442955017, 0.3639746904373169, 0.32140636444091797, 0.369737833738327, 0.23404890298843384, 0.3717755973339081, 0.4693008363246918, 0.2537815272808075, 0.48361265659332275, 0.6375153064727783, 0.5517128705978394, 0.3440861701965332, 0.3482411205768585, 0.23746931552886963, 0.40744340419769287, 0.287138432264328, 0.3741677701473236, 0.34126508235931396, 0.4016638994216919, 0.4788053035736084, 0.5791815519332886, 0.31296905875205994, 0.34913110733032227, 0.2944846451282501, 0.3061022162437439, 0.38170143961906433, 0.4233150780200958, 0.6102108955383301, 0.34464719891548157, 0.4232001304626465, 0.6209080219268799, 0.390656054019928, 0.5279595851898193, 0.36678197979927063, 0.4118930399417877, 0.40920549631118774, 0.5224404335021973, 0.2673407793045044, 0.4228561520576477, 0.3993246853351593, 0.2552351653575897, 0.33261728286743164, 0.3821539580821991, 0.34763237833976746, 0.47458961606025696, 0.3985953629016876, 0.28446531295776367, 0.2906304597854614, 0.31271371245384216]","['.., : How the Collapse of Sam BankmanFrieds Crypto Empire Has Disrupted A.I.', 'safety.” Few in Silicon Valley had heard of the oneyearold lab, which is building A.I.', 'systems that generate language.', 'The funding round was led by Sam BankmanFried, the founder and chief executive of FTX, the cryptocurrency exchange that filed for bankruptcy last month.', 'world are an unexpected fallout from FTXs disintegration, showing how far the ripple effects of the crypto exchanges collapse and Mr. BankmanFrieds vaporizing fortune have traveled.', 'The New York Times Sam BankmanFried during the DealBook Summit on Wednesday.', 'His attempts to influence artificial intelligence are part of a philanthropic philosophy that he trumpeted known as effective altruism.', 'stem from his involvement in “effective altruism,” a philanthropic movement in which donors seek to maximize the impact of their giving for the long term.', 'Many effective altruists believe that increasingly powerful A.I.', 'Georgetown Universitys Center for Security and Emerging Technology, which studies the impact of A.I.', 'Effective altruists also work as researchers inside these think tanks.', 'Mr. BankmanFried has been a part of the effective altruist movement since .', 'Embracing an approach called earning to give, he told The Times in April that he had deliberately chosen a lucrative career so he could give away much larger amounts of money.', 'Mr. BankmanFried and his colleagues also funded several other efforts that were working to mitigate the longterm risks of A.I., including .', 'million to the Alignment Research Center, an organization that aims to align future A.I.', 'After FTX filed for bankruptcy, Mr. MacAskill and others who ran the Future Fund resigned from the project, citing “fundamental questions about the legitimacy and integrity of the business operations” behind it.', 'The company was founded in by a group that included a contingent of effective altruists who had left OpenAI.', 'safer by developing its own language models, which can cost tens of millions of dollars to build.', 'Oren Etzioni of the Allen Institute for Artificial Intelligence said the effective altruist community sometimes made todays technologies seem more powerful or more dangerous than they really were.', 'lab, said that the views of the effective altruist community were sometimes extreme and that they often made todays technologies seem more powerful or more dangerous than they really were.']"
1,human rights,"[0.19153687357902527, 0.25055786967277527, 0.2058641016483307, 0.21545125544071198, 0.2893950939178467, 0.2325855791568756, 0.1900022029876709, 0.18466590344905853, 0.22763752937316895, 0.20222334563732147, 0.23753423988819122, 0.3082570731639862, 0.24847890436649323, 0.2632470726966858, 0.21099331974983215, 0.1960620880126953, 0.2953781187534332, 0.2359446883201599, 0.22286537289619446, 0.29590991139411926, 0.22722001373767853, 0.2341650128364563, 0.15354695916175842, 0.07678592950105667, 0.2137039303779602, 0.23526793718338013, 0.18327057361602783, 0.27975597977638245, 0.2619476914405823, 0.26270076632499695, 0.2833254933357239, 0.350542813539505, 0.303531676530838, 0.20816048979759216, 0.21481448411941528, 0.25943002104759216, 0.22465363144874573, 0.30864402651786804, 0.17387618124485016, 0.24721325933933258, 0.24089492857456207, 0.25049254298210144, 0.17108596861362457, 0.3417193591594696, 0.3170316815376282, 0.2309231162071228, 0.31186655163764954, 0.24497276544570923, 0.1856195032596588, 0.21966196596622467, 0.2239050269126892, 0.15678346157073975, 0.13559500873088837, 0.3116846978664398, 0.26554352045059204, 0.23433832824230194, 0.23319940268993378, 0.3045920431613922, 0.21453644335269928, 0.16227002441883087, 0.24571692943572998, 0.2037866860628128, 0.22083257138729095, 0.2257281243801117, 0.17375200986862183, 0.27108919620513916, 0.19245605170726776, 0.17375528812408447, 0.24527820944786072, 0.2617702782154083, 0.19277891516685486, 0.23240430653095245, 0.2341650128364563, 0.32475748658180237, 0.22085042297840118, 0.20454026758670807, 0.17460620403289795, 0.18806444108486176, 0.2415483295917511, 0.23384703695774078, 0.20734144747257233]",[]
2,fraud,"[0.13065238296985626, 0.1675538271665573, 0.1855747252702713, 0.17495378851890564, 0.16609148681163788, 0.16283515095710754, 0.07791054993867874, 0.16610507667064667, 0.15040647983551025, 0.19948580861091614, 0.09978193789720535, 0.17748287320137024, 0.19997717440128326, 0.1586960107088089, 0.1453801542520523, 0.1921202838420868, 0.16331841051578522, 0.15439392626285553, 0.19865116477012634, 0.14844638109207153, 0.09396971762180328, 0.22550572454929352, 0.1235184371471405, 0.07338681071996689, 0.20999985933303833, 0.15982861816883087, 0.17817945778369904, 0.10303754359483719, 0.1995857059955597, 0.1876678466796875, 0.14117898046970367, 0.1255125254392624, 0.15535053610801697, 0.16405156254768372, 0.2069939225912094, 0.17715008556842804, 0.2084062546491623, 0.190157949924469, 0.15765415132045746, 0.17695023119449615, 0.20732498168945312, 0.07191115617752075, 0.10775894671678543, 0.14369596540927887, 0.1780848354101181, 0.19218474626541138, 0.10733813792467117, 0.22078672051429749, 0.18286940455436707, 0.21483570337295532, 0.1812281608581543, 0.14441406726837158, 0.13535894453525543, 0.2768592834472656, 0.19901545345783234, 0.17892272770404816, 0.2157771736383438, 0.15718284249305725, 0.15001240372657776, 0.08656664192676544, 0.2139158695936203, 0.1633078157901764, 0.07356379181146622, 0.16636618971824646, 0.13198748230934143, 0.17715337872505188, 0.14799350500106812, 0.15959985554218292, 0.09193669259548187, 0.21610184013843536, 0.13816271722316742, 0.13312973082065582, 0.22550572454929352, 0.1646260768175125, 0.18346260488033295, 0.1845095306634903, 0.13830609619617462, 0.17613612115383148, 0.16160976886749268, 0.170834481716156, 0.1822458654642105]",[]
3,social issues,"[0.10281866788864136, 0.11214208602905273, 0.12632746994495392, 0.15288116037845612, 0.12556374073028564, 0.1397421509027481, 0.04942430183291435, 0.14066371321678162, 0.10858854651451111, 0.12761425971984863, 0.0943821370601654, 0.10043224692344666, 0.1406138837337494, 0.15298238396644592, 0.11224769055843353, 0.17836126685142517, 0.13990329205989838, 0.14467939734458923, 0.1716468185186386, 0.14373156428337097, 0.09339771419763565, 0.15192897617816925, 0.06124741584062576, 0.06764420866966248, 0.14124886691570282, 0.1039707213640213, 0.1255686730146408, 0.0640878677368164, 0.16809134185314178, 0.16590732336044312, 0.04699297249317169, 0.10324519127607346, 0.09042911976575851, 0.1477845311164856, 0.1940595954656601, 0.14409112930297852, 0.17100046575069427, 0.09279179573059082, 0.1043296530842781, 0.16397395730018616, 0.050418902188539505, 0.026893841102719307, 0.08686040341854095, 0.09185900539159775, 0.09100039303302765, 0.18744884431362152, 0.0904194563627243, 0.13010381162166595, 0.148163303732872, 0.14572148025035858, 0.1355738639831543, 0.12299947440624237, 0.08038605749607086, 0.06520815193653107, 0.11157410591840744, 0.15014199912548065, 0.15600945055484772, 0.11402895301580429, 0.13446149230003357, 0.08210542798042297, 0.11017550528049469, 0.1425306499004364, 0.05472078546881676, 0.15015029907226562, 0.09540499001741409, 0.09316471964120865, 0.12933437526226044, 0.13776415586471558, 0.08747904002666473, 0.1542644053697586, 0.12500308454036713, 0.12917806208133698, 0.15192897617816925, 0.096173956990242, 0.17511692643165588, 0.15160439908504486, 0.1088612750172615, 0.15906201303005219, 0.15969260036945343, 0.16013941168785095, 0.17799437046051025]",[]
4,labour law,"[0.09324976801872253, 0.10903065651655197, 0.12070289999246597, 0.11566348373889923, 0.1016886904835701, 0.05569057539105415, 0.01330474577844143, 0.03940046951174736, 0.10090789198875427, 0.12176704406738281, 0.04837542772293091, 0.09172187745571136, 0.11988739669322968, 0.13251616060733795, 0.10141640156507492, 0.10713117569684982, 0.09391457587480545, 0.11850112676620483, 0.13717608153820038, 0.09724549949169159, 0.06604938954114914, 0.1331651508808136, 0.06116899475455284, 0.0447332002222538, 0.12005747854709625, 0.0540396049618721, 0.1213311105966568, 0.054118767380714417, 0.08437599241733551, 0.0802978053689003, 0.04082462191581726, 0.045817725360393524, 0.07307814806699753, 0.1160288155078888, 0.06272555887699127, 0.049591004848480225, 0.16189076006412506, 0.03663064166903496, 0.09483920782804489, 0.15808098018169403, 0.01774841547012329, 0.013187190517783165, 0.08258179575204849, 0.07863949239253998, 0.06564192473888397, 0.15197397768497467, 0.08293242007493973, 0.11699827760457993, 0.10918006300926208, 0.07851582765579224, 0.0576290525496006, 0.09699764847755432, 0.06947848200798035, 0.03327886387705803, 0.0747358426451683, 0.14211226999759674, 0.08891181647777557, 0.042494822293519974, 0.07767458260059357, 0.05884706228971481, 0.08554453402757645, 0.0671747624874115, 0.029974782839417458, 0.06709926575422287, 0.07089589536190033, 0.09181080013513565, 0.11832302063703537, 0.11967520415782928, 0.05286559462547302, 0.10052269697189331, 0.1211990937590599, 0.10596318542957306, 0.1331651508808136, 0.08182515949010849, 0.03841610625386238, 0.11171343922615051, 0.10363676398992538, 0.07814208418130875, 0.1526840180158615, 0.14454863965511322, 0.11970467865467072]",[]
