,Label,Cosine Similarity Mean
0,sustainability,"[tensor([[-0.0774]]), tensor([[0.2685]]), tensor([[0.3490]]), tensor([[0.2290]]), tensor([[0.3562]]), tensor([[0.1480]]), tensor([[0.2232]]), tensor([[0.1376]]), tensor([[0.0456]]), tensor([[0.1074]]), tensor([[0.0723]]), tensor([[0.2541]]), tensor([[0.1795]]), tensor([[0.1319]]), tensor([[0.3113]]), tensor([[0.2065]]), tensor([[0.1161]]), tensor([[-0.0177]]), tensor([[0.3792]]), tensor([[0.1928]]), tensor([[0.1564]]), tensor([[0.0671]]), tensor([[0.3145]]), tensor([[0.2365]]), tensor([[0.1389]]), tensor([[0.3613]]), tensor([[0.3896]]), tensor([[0.3249]]), tensor([[0.3307]]), tensor([[0.1573]]), tensor([[0.1191]]), tensor([[-0.0397]])]"
1,human rights,"[tensor([[0.1017]]), tensor([[0.0532]]), tensor([[0.0608]]), tensor([[0.0366]]), tensor([[0.0816]]), tensor([[0.0747]]), tensor([[0.1045]]), tensor([[0.1333]]), tensor([[0.1580]]), tensor([[0.0188]]), tensor([[0.0044]]), tensor([[0.2711]]), tensor([[-0.0390]]), tensor([[0.0238]]), tensor([[0.0297]]), tensor([[-0.0832]]), tensor([[-0.1306]]), tensor([[0.0135]]), tensor([[-0.0194]]), tensor([[0.0836]]), tensor([[0.0130]]), tensor([[0.1072]]), tensor([[0.1957]]), tensor([[0.2484]]), tensor([[0.1420]]), tensor([[0.1649]]), tensor([[0.0711]]), tensor([[0.0059]]), tensor([[0.0355]]), tensor([[0.0145]]), tensor([[0.0895]]), tensor([[0.0233]])]"
2,fraud,"[tensor([[-0.1011]]), tensor([[-0.0442]]), tensor([[-0.1423]]), tensor([[0.0085]]), tensor([[-0.0092]]), tensor([[-0.0549]]), tensor([[-0.0447]]), tensor([[-0.0570]]), tensor([[-0.0428]]), tensor([[0.0166]]), tensor([[0.0344]]), tensor([[0.0238]]), tensor([[-0.0268]]), tensor([[-0.0070]]), tensor([[-0.0698]]), tensor([[-0.0978]]), tensor([[-0.0343]]), tensor([[0.0109]]), tensor([[0.0044]]), tensor([[-0.0006]]), tensor([[-0.0664]]), tensor([[-0.0451]]), tensor([[0.0404]]), tensor([[0.1045]]), tensor([[-0.0273]]), tensor([[0.0468]]), tensor([[-0.0180]]), tensor([[0.1130]]), tensor([[-0.0131]]), tensor([[-0.0016]]), tensor([[-0.0302]]), tensor([[-0.0699]])]"
3,social issues,"[tensor([[0.0798]]), tensor([[0.1257]]), tensor([[0.0163]]), tensor([[0.0993]]), tensor([[0.2024]]), tensor([[0.1329]]), tensor([[0.0339]]), tensor([[-0.0106]]), tensor([[-0.0161]]), tensor([[-0.0017]]), tensor([[0.0024]]), tensor([[0.0698]]), tensor([[0.0212]]), tensor([[-0.0418]]), tensor([[0.1004]]), tensor([[-0.0337]]), tensor([[-0.0213]]), tensor([[-0.1301]]), tensor([[0.0325]]), tensor([[0.0686]]), tensor([[0.0642]]), tensor([[-0.0274]]), tensor([[0.1681]]), tensor([[0.1720]]), tensor([[0.0322]]), tensor([[0.1575]]), tensor([[0.1810]]), tensor([[0.2736]]), tensor([[0.1191]]), tensor([[-0.0031]]), tensor([[0.0921]]), tensor([[0.0120]])]"
4,labour law,"[tensor([[-0.0201]]), tensor([[-0.0222]]), tensor([[-0.0867]]), tensor([[-0.0563]]), tensor([[-0.0017]]), tensor([[-0.0226]]), tensor([[0.0398]]), tensor([[0.0648]]), tensor([[0.0609]]), tensor([[-0.0464]]), tensor([[-0.0482]]), tensor([[0.0930]]), tensor([[-0.0631]]), tensor([[-0.0129]]), tensor([[0.0413]]), tensor([[0.0013]]), tensor([[-0.0604]]), tensor([[-0.1295]]), tensor([[-0.0438]]), tensor([[-0.0281]]), tensor([[0.0071]]), tensor([[-0.0298]]), tensor([[0.1770]]), tensor([[0.3347]]), tensor([[0.0414]]), tensor([[0.0595]]), tensor([[-0.0273]]), tensor([[0.0025]]), tensor([[0.0048]]), tensor([[-0.0801]]), tensor([[0.1132]]), tensor([[-0.0047]])]"
