,Label,Cosine Similarity Mean
0,sustainability,"[tensor([[0.0608]]), tensor([[0.2083]]), tensor([[-0.0645]]), tensor([[-0.0263]]), tensor([[-0.0917]]), tensor([[-0.0424]]), tensor([[-0.0971]]), tensor([[0.0129]]), tensor([[-0.0448]]), tensor([[0.0199]]), tensor([[-0.0427]]), tensor([[-0.0207]]), tensor([[0.0655]]), tensor([[-0.1146]]), tensor([[-0.0198]]), tensor([[0.1051]]), tensor([[-0.0828]]), tensor([[0.1335]]), tensor([[0.0639]]), tensor([[-0.0037]]), tensor([[0.0668]]), tensor([[0.0090]]), tensor([[0.0878]]), tensor([[-0.0119]]), tensor([[0.0730]]), tensor([[0.0926]]), tensor([[0.0388]]), tensor([[0.1999]]), tensor([[0.1260]]), tensor([[0.0863]]), tensor([[0.2410]]), tensor([[0.0983]]), tensor([[0.1104]]), tensor([[0.1606]]), tensor([[-0.0310]]), tensor([[0.1379]]), tensor([[0.1318]]), tensor([[0.0682]]), tensor([[-0.0550]]), tensor([[-0.0028]]), tensor([[0.1369]]), tensor([[0.0370]]), tensor([[0.1020]]), tensor([[0.1357]]), tensor([[0.1358]]), tensor([[0.0107]]), tensor([[-0.0787]]), tensor([[0.0248]]), tensor([[0.0956]]), tensor([[-0.0599]]), tensor([[0.0457]]), tensor([[0.0358]]), tensor([[0.0110]]), tensor([[0.0937]]), tensor([[0.1175]]), tensor([[0.1506]]), tensor([[0.0125]]), tensor([[-0.0381]]), tensor([[0.0559]]), tensor([[-0.0369]])]"
1,human rights,"[tensor([[-0.0004]]), tensor([[0.0214]]), tensor([[-0.0224]]), tensor([[0.0722]]), tensor([[-0.0016]]), tensor([[0.0255]]), tensor([[0.1053]]), tensor([[0.1244]]), tensor([[0.0434]]), tensor([[-0.0398]]), tensor([[0.0044]]), tensor([[-0.0055]]), tensor([[-0.1414]]), tensor([[0.0851]]), tensor([[-0.0771]]), tensor([[0.0618]]), tensor([[-0.1205]]), tensor([[0.0789]]), tensor([[0.0991]]), tensor([[0.0985]]), tensor([[0.0163]]), tensor([[-0.0388]]), tensor([[0.0132]]), tensor([[0.0622]]), tensor([[0.1213]]), tensor([[0.0222]]), tensor([[-0.0486]]), tensor([[0.1079]]), tensor([[0.0175]]), tensor([[0.0543]]), tensor([[0.0765]]), tensor([[0.0874]]), tensor([[0.1511]]), tensor([[0.1052]]), tensor([[0.1589]]), tensor([[0.1500]]), tensor([[0.1565]]), tensor([[0.0507]]), tensor([[0.1189]]), tensor([[0.0668]]), tensor([[0.1156]]), tensor([[0.0252]]), tensor([[0.0033]]), tensor([[0.0953]]), tensor([[0.1022]]), tensor([[0.1993]]), tensor([[0.0169]]), tensor([[0.0392]]), tensor([[-0.0028]]), tensor([[0.0994]]), tensor([[0.0456]]), tensor([[0.2057]]), tensor([[-0.0422]]), tensor([[0.0404]]), tensor([[0.0625]]), tensor([[0.1238]]), tensor([[-0.0545]]), tensor([[0.0064]]), tensor([[-0.0093]]), tensor([[0.0820]])]"
2,fraud,"[tensor([[0.0068]]), tensor([[-0.0152]]), tensor([[0.0414]]), tensor([[-0.0499]]), tensor([[0.1149]]), tensor([[0.0524]]), tensor([[-0.0385]]), tensor([[0.0370]]), tensor([[0.0315]]), tensor([[0.0431]]), tensor([[-0.0030]]), tensor([[-0.0026]]), tensor([[0.0093]]), tensor([[0.0166]]), tensor([[0.0023]]), tensor([[0.1353]]), tensor([[-0.1112]]), tensor([[-0.0933]]), tensor([[0.0237]]), tensor([[0.0118]]), tensor([[0.0504]]), tensor([[0.0516]]), tensor([[0.0637]]), tensor([[0.0848]]), tensor([[0.1233]]), tensor([[-0.0135]]), tensor([[-0.0021]]), tensor([[-0.0116]]), tensor([[-0.0245]]), tensor([[0.0094]]), tensor([[0.1228]]), tensor([[0.0344]]), tensor([[-0.0028]]), tensor([[0.0842]]), tensor([[-0.0173]]), tensor([[-0.0296]]), tensor([[0.0084]]), tensor([[0.0875]]), tensor([[0.0436]]), tensor([[-0.0133]]), tensor([[0.1070]]), tensor([[0.0692]]), tensor([[-0.0386]]), tensor([[0.1330]]), tensor([[0.1525]]), tensor([[0.0316]]), tensor([[0.0802]]), tensor([[0.0272]]), tensor([[0.0266]]), tensor([[-0.0552]]), tensor([[0.0034]]), tensor([[0.0350]]), tensor([[0.0561]]), tensor([[0.0175]]), tensor([[-0.0436]]), tensor([[0.0017]]), tensor([[-0.0502]]), tensor([[0.0007]]), tensor([[-0.0576]]), tensor([[0.0058]])]"
3,social issues,"[tensor([[0.0064]]), tensor([[0.1670]]), tensor([[0.0391]]), tensor([[-0.0429]]), tensor([[0.0349]]), tensor([[0.0410]]), tensor([[-0.0426]]), tensor([[0.0600]]), tensor([[-0.0127]]), tensor([[0.1957]]), tensor([[-0.0228]]), tensor([[-0.1031]]), tensor([[0.0138]]), tensor([[-0.0576]]), tensor([[0.0086]]), tensor([[0.1275]]), tensor([[-0.0978]]), tensor([[0.0351]]), tensor([[0.0767]]), tensor([[0.1385]]), tensor([[0.1363]]), tensor([[0.0466]]), tensor([[0.1307]]), tensor([[0.2305]]), tensor([[0.1096]]), tensor([[0.0148]]), tensor([[-0.0269]]), tensor([[0.2245]]), tensor([[0.1007]]), tensor([[0.0949]]), tensor([[0.2092]]), tensor([[0.0652]]), tensor([[0.0668]]), tensor([[0.1798]]), tensor([[-0.0401]]), tensor([[0.0038]]), tensor([[0.2269]]), tensor([[-0.0275]]), tensor([[-0.0042]]), tensor([[0.0433]]), tensor([[0.0877]]), tensor([[0.0058]]), tensor([[-0.0313]]), tensor([[0.1287]]), tensor([[0.1615]]), tensor([[0.1057]]), tensor([[0.0237]]), tensor([[-0.0006]]), tensor([[-0.0191]]), tensor([[-0.0335]]), tensor([[-0.0071]]), tensor([[0.0375]]), tensor([[-0.0035]]), tensor([[0.0121]]), tensor([[0.0824]]), tensor([[0.1984]]), tensor([[-0.0461]]), tensor([[0.0123]]), tensor([[0.1254]]), tensor([[-0.0420]])]"
4,labour law,"[tensor([[0.0629]]), tensor([[0.0051]]), tensor([[-0.0284]]), tensor([[-0.0178]]), tensor([[-0.0367]]), tensor([[0.0512]]), tensor([[0.0010]]), tensor([[0.1289]]), tensor([[0.0009]]), tensor([[-0.0305]]), tensor([[0.0491]]), tensor([[0.0006]]), tensor([[-0.0695]]), tensor([[0.1064]]), tensor([[-0.0111]]), tensor([[0.0640]]), tensor([[-0.1560]]), tensor([[0.1208]]), tensor([[-0.0273]]), tensor([[0.0649]]), tensor([[0.0279]]), tensor([[-0.0015]]), tensor([[-0.0390]]), tensor([[0.0774]]), tensor([[0.0062]]), tensor([[-0.0233]]), tensor([[-0.0544]]), tensor([[0.0517]]), tensor([[0.0220]]), tensor([[-0.0211]]), tensor([[0.0155]]), tensor([[0.0142]]), tensor([[-0.0442]]), tensor([[0.0844]]), tensor([[0.0993]]), tensor([[0.0640]]), tensor([[0.1719]]), tensor([[-0.0567]]), tensor([[-0.0107]]), tensor([[0.0178]]), tensor([[0.0345]]), tensor([[0.0284]]), tensor([[-0.0976]]), tensor([[-0.0178]]), tensor([[-0.0410]]), tensor([[0.0744]]), tensor([[-0.0256]]), tensor([[-0.0251]]), tensor([[-0.1016]]), tensor([[-0.0273]]), tensor([[-0.0038]]), tensor([[0.0540]]), tensor([[-0.0507]]), tensor([[-0.0365]]), tensor([[0.0623]]), tensor([[0.0311]]), tensor([[-0.1119]]), tensor([[0.0034]]), tensor([[-0.0102]]), tensor([[0.0906]])]"
