,Label,Cosine Similarity Mean
0,sustainability,"[tensor([[0.1724]]), tensor([[0.0427]]), tensor([[-0.0356]]), tensor([[0.0327]]), tensor([[0.0289]]), tensor([[-0.1190]]), tensor([[-0.1614]]), tensor([[-0.0851]]), tensor([[0.1173]]), tensor([[-0.0704]]), tensor([[0.2576]]), tensor([[0.0492]]), tensor([[-0.0953]]), tensor([[0.1059]]), tensor([[0.1113]]), tensor([[0.1040]]), tensor([[0.1636]]), tensor([[0.1510]]), tensor([[0.2860]]), tensor([[0.0662]]), tensor([[0.1668]]), tensor([[0.3221]]), tensor([[0.1281]]), tensor([[0.1302]]), tensor([[0.0784]]), tensor([[0.1879]]), tensor([[0.0224]]), tensor([[0.1260]]), tensor([[0.2150]]), tensor([[0.1434]]), tensor([[0.1377]]), tensor([[0.0760]]), tensor([[0.0858]]), tensor([[0.0446]]), tensor([[0.2017]]), tensor([[0.0422]]), tensor([[0.1474]]), tensor([[0.3092]]), tensor([[0.1985]]), tensor([[0.1369]]), tensor([[0.0394]]), tensor([[0.1818]]), tensor([[0.1315]]), tensor([[0.1474]]), tensor([[0.0429]]), tensor([[0.2346]]), tensor([[0.1271]]), tensor([[0.2259]]), tensor([[-0.0112]]), tensor([[0.2568]]), tensor([[0.2021]]), tensor([[0.0651]]), tensor([[0.1422]]), tensor([[0.1580]]), tensor([[0.2777]]), tensor([[-0.0593]]), tensor([[0.1579]]), tensor([[0.1510]]), tensor([[0.0544]]), tensor([[0.1327]]), tensor([[0.0258]]), tensor([[-0.0018]]), tensor([[0.0973]]), tensor([[0.1037]]), tensor([[0.0276]]), tensor([[0.0600]]), tensor([[0.1021]]), tensor([[0.2139]]), tensor([[0.2142]]), tensor([[0.0604]]), tensor([[0.1561]]), tensor([[0.0311]]), tensor([[0.0398]]), tensor([[0.1375]]), tensor([[0.1120]]), tensor([[0.1652]]), tensor([[0.1170]]), tensor([[0.1758]]), tensor([[0.1257]]), tensor([[0.0687]]), tensor([[0.0543]]), tensor([[0.1621]]), tensor([[0.0946]]), tensor([[0.2624]]), tensor([[0.1141]]), tensor([[0.0491]]), tensor([[0.1423]]), tensor([[0.1815]]), tensor([[0.0789]]), tensor([[0.0745]]), tensor([[0.0763]]), tensor([[0.2435]]), tensor([[-0.0255]]), tensor([[0.0704]]), tensor([[0.0753]]), tensor([[0.0710]]), tensor([[0.1912]]), tensor([[0.1426]]), tensor([[0.0923]]), tensor([[0.0345]]), tensor([[0.1302]]), tensor([[0.0910]]), tensor([[0.0938]]), tensor([[0.0701]]), tensor([[0.0209]]), tensor([[0.0157]]), tensor([[0.0126]]), tensor([[0.0104]]), tensor([[0.2196]]), tensor([[0.1537]]), tensor([[-0.0417]]), tensor([[0.1394]]), tensor([[0.0448]]), tensor([[0.0433]]), tensor([[0.0077]]), tensor([[0.2181]]), tensor([[0.1492]]), tensor([[0.0108]]), tensor([[0.1192]]), tensor([[0.1600]]), tensor([[0.0818]]), tensor([[0.1324]]), tensor([[0.1302]]), tensor([[0.2117]]), tensor([[-0.0312]]), tensor([[0.1065]]), tensor([[-0.0312]]), tensor([[0.0976]]), tensor([[0.1337]]), tensor([[-0.0091]]), tensor([[0.0113]]), tensor([[0.1363]]), tensor([[0.0522]]), tensor([[0.0373]])]"
1,human rights,"[tensor([[0.1100]]), tensor([[-0.0711]]), tensor([[0.0454]]), tensor([[-0.0236]]), tensor([[0.0027]]), tensor([[0.1291]]), tensor([[-0.0340]]), tensor([[-0.0686]]), tensor([[0.1173]]), tensor([[0.0975]]), tensor([[0.2421]]), tensor([[-0.0101]]), tensor([[0.0003]]), tensor([[0.1437]]), tensor([[0.0741]]), tensor([[0.1615]]), tensor([[0.1455]]), tensor([[0.1343]]), tensor([[0.1426]]), tensor([[0.0471]]), tensor([[0.1432]]), tensor([[0.0284]]), tensor([[0.0752]]), tensor([[0.1808]]), tensor([[0.2002]]), tensor([[0.2601]]), tensor([[0.1200]]), tensor([[0.1215]]), tensor([[0.1769]]), tensor([[0.1580]]), tensor([[0.2172]]), tensor([[0.1730]]), tensor([[0.0316]]), tensor([[0.0780]]), tensor([[0.1158]]), tensor([[-0.0155]]), tensor([[0.0610]]), tensor([[0.2094]]), tensor([[0.2460]]), tensor([[0.1688]]), tensor([[0.1525]]), tensor([[0.2372]]), tensor([[0.0158]]), tensor([[0.1412]]), tensor([[0.0802]]), tensor([[0.1125]]), tensor([[0.2857]]), tensor([[0.0429]]), tensor([[-0.0382]]), tensor([[0.2288]]), tensor([[0.1129]]), tensor([[0.2758]]), tensor([[0.1004]]), tensor([[0.1163]]), tensor([[0.1463]]), tensor([[-0.0421]]), tensor([[0.1464]]), tensor([[0.1197]]), tensor([[-0.0926]]), tensor([[0.2260]]), tensor([[0.1523]]), tensor([[0.2598]]), tensor([[0.1737]]), tensor([[0.1186]]), tensor([[0.2883]]), tensor([[0.0655]]), tensor([[0.2483]]), tensor([[0.2268]]), tensor([[0.2517]]), tensor([[0.2413]]), tensor([[0.3046]]), tensor([[0.0348]]), tensor([[0.0876]]), tensor([[0.0753]]), tensor([[0.0451]]), tensor([[0.1395]]), tensor([[-0.0262]]), tensor([[0.2433]]), tensor([[0.2357]]), tensor([[-0.0379]]), tensor([[0.0846]]), tensor([[0.0360]]), tensor([[0.0176]]), tensor([[0.2097]]), tensor([[0.0801]]), tensor([[0.0891]]), tensor([[0.0538]]), tensor([[-0.0668]]), tensor([[0.1406]]), tensor([[0.1072]]), tensor([[0.0932]]), tensor([[0.0849]]), tensor([[0.0164]]), tensor([[0.0881]]), tensor([[0.0500]]), tensor([[0.0878]]), tensor([[0.2156]]), tensor([[0.0487]]), tensor([[0.1301]]), tensor([[-0.0011]]), tensor([[0.1335]]), tensor([[0.1913]]), tensor([[0.2113]]), tensor([[0.1404]]), tensor([[0.1299]]), tensor([[0.0766]]), tensor([[-0.0434]]), tensor([[0.0036]]), tensor([[0.1130]]), tensor([[0.0481]]), tensor([[0.0551]]), tensor([[0.1622]]), tensor([[0.2139]]), tensor([[0.2887]]), tensor([[0.0152]]), tensor([[0.1487]]), tensor([[-0.0003]]), tensor([[0.0652]]), tensor([[0.0380]]), tensor([[0.0543]]), tensor([[0.0794]]), tensor([[0.2298]]), tensor([[0.1444]]), tensor([[0.0969]]), tensor([[0.1281]]), tensor([[0.1440]]), tensor([[0.0686]]), tensor([[0.1668]]), tensor([[0.1619]]), tensor([[-0.0153]]), tensor([[0.1162]]), tensor([[0.1862]]), tensor([[0.0982]]), tensor([[0.0453]])]"
2,fraud,"[tensor([[0.0176]]), tensor([[0.0812]]), tensor([[0.0526]]), tensor([[-0.0248]]), tensor([[-0.0152]]), tensor([[-0.1055]]), tensor([[-0.0308]]), tensor([[0.0819]]), tensor([[-0.0359]]), tensor([[0.0401]]), tensor([[0.0337]]), tensor([[-0.1019]]), tensor([[-0.0437]]), tensor([[0.1385]]), tensor([[0.0549]]), tensor([[0.2700]]), tensor([[0.0623]]), tensor([[0.0038]]), tensor([[0.0865]]), tensor([[0.0783]]), tensor([[-0.0048]]), tensor([[0.0100]]), tensor([[-0.0921]]), tensor([[0.0257]]), tensor([[0.0799]]), tensor([[-0.0291]]), tensor([[-0.0075]]), tensor([[0.1013]]), tensor([[0.0493]]), tensor([[0.0609]]), tensor([[-0.0126]]), tensor([[0.1016]]), tensor([[-0.0660]]), tensor([[-0.0715]]), tensor([[-0.0830]]), tensor([[-0.0999]]), tensor([[0.1051]]), tensor([[0.0273]]), tensor([[0.0957]]), tensor([[-0.0072]]), tensor([[0.0620]]), tensor([[0.0066]]), tensor([[0.0267]]), tensor([[0.0567]]), tensor([[0.0191]]), tensor([[0.1181]]), tensor([[0.0777]]), tensor([[0.1571]]), tensor([[-0.0406]]), tensor([[0.0203]]), tensor([[0.1153]]), tensor([[-0.0259]]), tensor([[-0.0338]]), tensor([[0.0098]]), tensor([[-0.0429]]), tensor([[0.0894]]), tensor([[0.0945]]), tensor([[0.0469]]), tensor([[-0.0304]]), tensor([[0.0254]]), tensor([[-0.0232]]), tensor([[-0.0033]]), tensor([[0.0241]]), tensor([[0.0241]]), tensor([[-0.0411]]), tensor([[0.1389]]), tensor([[-0.0399]]), tensor([[-0.0125]]), tensor([[0.0223]]), tensor([[0.0070]]), tensor([[0.0722]]), tensor([[-0.0463]]), tensor([[0.0084]]), tensor([[-0.0142]]), tensor([[0.1472]]), tensor([[0.0475]]), tensor([[0.0863]]), tensor([[0.0407]]), tensor([[0.0246]]), tensor([[-0.0978]]), tensor([[-0.1069]]), tensor([[0.0024]]), tensor([[-0.0198]]), tensor([[-0.0631]]), tensor([[-0.0222]]), tensor([[-0.0764]]), tensor([[-0.0512]]), tensor([[0.0002]]), tensor([[-0.0533]]), tensor([[0.0807]]), tensor([[0.0480]]), tensor([[-0.1491]]), tensor([[0.0821]]), tensor([[0.0942]]), tensor([[0.0069]]), tensor([[-0.0046]]), tensor([[0.0165]]), tensor([[0.1051]]), tensor([[0.0560]]), tensor([[-0.1033]]), tensor([[-0.0464]]), tensor([[-0.0749]]), tensor([[-0.0666]]), tensor([[0.0428]]), tensor([[-0.0519]]), tensor([[0.1311]]), tensor([[0.1422]]), tensor([[0.1211]]), tensor([[-0.0909]]), tensor([[-0.0094]]), tensor([[0.0110]]), tensor([[0.0093]]), tensor([[0.0041]]), tensor([[-0.0652]]), tensor([[0.0323]]), tensor([[0.1152]]), tensor([[-0.0200]]), tensor([[0.1456]]), tensor([[0.0830]]), tensor([[0.1776]]), tensor([[0.0246]]), tensor([[-0.0450]]), tensor([[-0.0481]]), tensor([[0.0832]]), tensor([[0.0358]]), tensor([[-0.0118]]), tensor([[-0.0639]]), tensor([[0.0159]]), tensor([[-0.0919]]), tensor([[0.0473]]), tensor([[0.2308]]), tensor([[0.1075]]), tensor([[0.0067]]), tensor([[0.0175]])]"
3,social issues,"[tensor([[0.0706]]), tensor([[0.0008]]), tensor([[0.0038]]), tensor([[-0.0038]]), tensor([[0.0279]]), tensor([[-0.0652]]), tensor([[0.0360]]), tensor([[-0.0114]]), tensor([[0.2007]]), tensor([[0.0019]]), tensor([[0.1319]]), tensor([[0.0285]]), tensor([[0.0392]]), tensor([[0.0990]]), tensor([[0.1363]]), tensor([[0.0804]]), tensor([[0.0654]]), tensor([[0.1642]]), tensor([[0.2131]]), tensor([[0.1532]]), tensor([[0.1140]]), tensor([[0.0759]]), tensor([[-0.0596]]), tensor([[0.0950]]), tensor([[0.1542]]), tensor([[0.1592]]), tensor([[0.1456]]), tensor([[0.0241]]), tensor([[0.2803]]), tensor([[0.1371]]), tensor([[0.0096]]), tensor([[-0.0854]]), tensor([[-0.0535]]), tensor([[-0.0603]]), tensor([[0.0307]]), tensor([[-0.0362]]), tensor([[0.1775]]), tensor([[0.1756]]), tensor([[0.1873]]), tensor([[0.1069]]), tensor([[-0.0053]]), tensor([[0.0473]]), tensor([[-0.0752]]), tensor([[0.0498]]), tensor([[-0.0122]]), tensor([[0.0401]]), tensor([[0.0986]]), tensor([[0.1667]]), tensor([[0.0288]]), tensor([[0.1694]]), tensor([[0.2904]]), tensor([[0.0137]]), tensor([[0.1252]]), tensor([[0.0498]]), tensor([[0.1094]]), tensor([[-0.0396]]), tensor([[0.0447]]), tensor([[0.0361]]), tensor([[0.0027]]), tensor([[0.0849]]), tensor([[0.0900]]), tensor([[0.0483]]), tensor([[0.0617]]), tensor([[0.1795]]), tensor([[0.1510]]), tensor([[0.1608]]), tensor([[0.0019]]), tensor([[0.1264]]), tensor([[0.1093]]), tensor([[0.1246]]), tensor([[0.1161]]), tensor([[0.0058]]), tensor([[-0.0338]]), tensor([[0.1387]]), tensor([[0.0670]]), tensor([[0.0841]]), tensor([[-0.0137]]), tensor([[0.0805]]), tensor([[0.0470]]), tensor([[-0.0524]]), tensor([[-0.0008]]), tensor([[0.0906]]), tensor([[0.0444]]), tensor([[0.1444]]), tensor([[0.0640]]), tensor([[-0.0051]]), tensor([[0.0510]]), tensor([[0.1050]]), tensor([[0.0757]]), tensor([[0.2036]]), tensor([[0.1395]]), tensor([[0.0876]]), tensor([[0.1587]]), tensor([[-0.0213]]), tensor([[0.0388]]), tensor([[-0.0029]]), tensor([[0.0788]]), tensor([[0.2347]]), tensor([[0.0476]]), tensor([[0.0010]]), tensor([[0.0584]]), tensor([[0.1713]]), tensor([[0.0437]]), tensor([[0.1146]]), tensor([[0.1388]]), tensor([[0.1151]]), tensor([[0.0010]]), tensor([[0.0238]]), tensor([[0.0361]]), tensor([[0.1096]]), tensor([[-0.0393]]), tensor([[0.0532]]), tensor([[-0.0313]]), tensor([[0.1095]]), tensor([[0.1169]]), tensor([[0.2643]]), tensor([[0.1257]]), tensor([[0.0927]]), tensor([[0.0853]]), tensor([[0.0151]]), tensor([[-0.0230]]), tensor([[0.1069]]), tensor([[0.0323]]), tensor([[0.0958]]), tensor([[0.0908]]), tensor([[0.0422]]), tensor([[0.0529]]), tensor([[0.1747]]), tensor([[0.0318]]), tensor([[0.0381]]), tensor([[0.0218]]), tensor([[0.0215]]), tensor([[0.0292]]), tensor([[0.0210]])]"
4,labour law,"[tensor([[0.0257]]), tensor([[-0.1082]]), tensor([[0.0300]]), tensor([[-0.0989]]), tensor([[-0.1283]]), tensor([[0.1327]]), tensor([[0.0581]]), tensor([[-0.0545]]), tensor([[0.0761]]), tensor([[0.0847]]), tensor([[0.0963]]), tensor([[-0.1189]]), tensor([[-0.0516]]), tensor([[0.1816]]), tensor([[0.0520]]), tensor([[0.1922]]), tensor([[0.0026]]), tensor([[0.0164]]), tensor([[0.1085]]), tensor([[-0.0027]]), tensor([[0.1285]]), tensor([[0.0497]]), tensor([[0.0741]]), tensor([[0.1241]]), tensor([[0.1613]]), tensor([[0.1950]]), tensor([[0.1083]]), tensor([[-0.0008]]), tensor([[0.0250]]), tensor([[-0.0179]]), tensor([[0.0715]]), tensor([[-0.0482]]), tensor([[-0.0169]]), tensor([[0.0193]]), tensor([[0.0739]]), tensor([[-0.0113]]), tensor([[0.0459]]), tensor([[0.0166]]), tensor([[0.1694]]), tensor([[0.0791]]), tensor([[0.0078]]), tensor([[0.1474]]), tensor([[-0.0208]]), tensor([[0.0414]]), tensor([[0.0179]]), tensor([[0.0893]]), tensor([[0.1204]]), tensor([[0.0486]]), tensor([[0.0378]]), tensor([[0.0589]]), tensor([[0.0704]]), tensor([[0.0172]]), tensor([[-0.0264]]), tensor([[0.0205]]), tensor([[0.0504]]), tensor([[-0.0961]]), tensor([[0.0685]]), tensor([[0.0825]]), tensor([[-0.0193]]), tensor([[0.1195]]), tensor([[0.1943]]), tensor([[0.1460]]), tensor([[0.0691]]), tensor([[0.0011]]), tensor([[0.1764]]), tensor([[0.1214]]), tensor([[0.2256]]), tensor([[0.0965]]), tensor([[0.0800]]), tensor([[0.0667]]), tensor([[0.1646]]), tensor([[-0.0454]]), tensor([[0.0008]]), tensor([[0.1203]]), tensor([[0.0450]]), tensor([[0.0688]]), tensor([[-0.0614]]), tensor([[0.0346]]), tensor([[0.1044]]), tensor([[-0.0055]]), tensor([[0.0624]]), tensor([[0.0420]]), tensor([[0.0911]]), tensor([[0.1617]]), tensor([[0.1439]]), tensor([[0.0630]]), tensor([[0.1094]]), tensor([[0.0644]]), tensor([[0.0838]]), tensor([[0.0647]]), tensor([[0.0721]]), tensor([[0.0907]]), tensor([[-0.0174]]), tensor([[-0.0369]]), tensor([[-0.0450]]), tensor([[-0.0059]]), tensor([[0.0508]]), tensor([[0.0139]]), tensor([[0.0025]]), tensor([[-0.0546]]), tensor([[0.0481]]), tensor([[0.0609]]), tensor([[0.0257]]), tensor([[0.0091]]), tensor([[0.0598]]), tensor([[0.0344]]), tensor([[-0.0543]]), tensor([[-0.0005]]), tensor([[0.0016]]), tensor([[-0.0276]]), tensor([[-0.0069]]), tensor([[0.1345]]), tensor([[0.0088]]), tensor([[0.1525]]), tensor([[-0.0313]]), tensor([[0.0424]]), tensor([[-0.0667]]), tensor([[-0.0187]]), tensor([[-0.0753]]), tensor([[0.0403]]), tensor([[-0.0545]]), tensor([[0.1025]]), tensor([[0.0403]]), tensor([[0.0717]]), tensor([[0.0163]]), tensor([[-0.0462]]), tensor([[-0.0462]]), tensor([[0.0324]]), tensor([[-0.0618]]), tensor([[-0.0085]]), tensor([[0.0480]]), tensor([[-0.0583]]), tensor([[-0.0333]]), tensor([[0.0025]])]"
