,Label,Cosine Similarity Mean
0,sustainability,"[tensor([[0.0013]]), tensor([[0.0968]]), tensor([[0.0327]]), tensor([[0.0356]]), tensor([[-0.0762]]), tensor([[0.0278]]), tensor([[0.2536]]), tensor([[0.1098]]), tensor([[0.0346]]), tensor([[0.3582]]), tensor([[-0.0762]]), tensor([[0.1211]]), tensor([[0.2917]]), tensor([[0.2622]]), tensor([[0.1814]]), tensor([[0.0346]]), tensor([[-0.0103]]), tensor([[0.4468]]), tensor([[-0.0300]]), tensor([[0.3401]]), tensor([[0.1258]]), tensor([[0.1125]]), tensor([[0.1537]]), tensor([[0.3197]]), tensor([[0.0346]]), tensor([[0.2647]]), tensor([[-0.0103]]), tensor([[-0.0213]]), tensor([[-0.0300]]), tensor([[0.0182]]), tensor([[0.0920]]), tensor([[0.4822]]), tensor([[0.0327]]), tensor([[0.3696]]), tensor([[-0.0103]]), tensor([[0.5470]]), tensor([[-0.0300]]), tensor([[0.1794]]), tensor([[0.0177]]), tensor([[0.0608]]), tensor([[-0.0188]]), tensor([[0.0655]]), tensor([[0.2009]]), tensor([[-0.0762]]), tensor([[0.1613]]), tensor([[0.0839]]), tensor([[0.0580]]), tensor([[0.0346]]), tensor([[0.0267]]), tensor([[-0.0439]]), tensor([[-0.0103]]), tensor([[0.1428]]), tensor([[0.1833]]), tensor([[-0.0300]]), tensor([[-0.0105]]), tensor([[0.1388]]), tensor([[0.1596]]), tensor([[-0.0501]]), tensor([[0.0535]]), tensor([[0.0327]]), tensor([[0.1548]]), tensor([[-0.0103]]), tensor([[0.0653]]), tensor([[-0.0300]]), tensor([[-0.0473]]), tensor([[0.1110]]), tensor([[0.0449]]), tensor([[0.0943]]), tensor([[0.0370]]), tensor([[0.1898]]), tensor([[-0.0103]]), tensor([[0.0118]]), tensor([[-0.0300]]), tensor([[-0.1228]]), tensor([[0.1108]]), tensor([[0.0599]])]"
1,human rights,"[tensor([[0.1189]]), tensor([[-0.0572]]), tensor([[0.0679]]), tensor([[0.1644]]), tensor([[0.0102]]), tensor([[0.1110]]), tensor([[-0.0192]]), tensor([[-0.0027]]), tensor([[0.0568]]), tensor([[0.0452]]), tensor([[0.0102]]), tensor([[-0.0084]]), tensor([[0.1875]]), tensor([[0.0451]]), tensor([[0.0716]]), tensor([[0.0568]]), tensor([[0.0801]]), tensor([[0.0452]]), tensor([[-0.0077]]), tensor([[0.0687]]), tensor([[0.0552]]), tensor([[0.0776]]), tensor([[0.1474]]), tensor([[-0.0294]]), tensor([[0.0568]]), tensor([[0.2005]]), tensor([[0.0801]]), tensor([[0.0872]]), tensor([[-0.0077]]), tensor([[-0.0389]]), tensor([[0.1141]]), tensor([[0.0173]]), tensor([[0.0679]]), tensor([[0.0998]]), tensor([[0.0801]]), tensor([[0.1408]]), tensor([[-0.0077]]), tensor([[0.0104]]), tensor([[0.0650]]), tensor([[0.1329]]), tensor([[0.1200]]), tensor([[0.0486]]), tensor([[0.2662]]), tensor([[0.0102]]), tensor([[0.2150]]), tensor([[0.1642]]), tensor([[0.1574]]), tensor([[0.0568]]), tensor([[0.1601]]), tensor([[0.0894]]), tensor([[0.0801]]), tensor([[0.2771]]), tensor([[0.2179]]), tensor([[-0.0077]]), tensor([[0.1253]]), tensor([[-0.0156]]), tensor([[0.1754]]), tensor([[0.0999]]), tensor([[0.1323]]), tensor([[0.0679]]), tensor([[0.2572]]), tensor([[0.0801]]), tensor([[0.0582]]), tensor([[-0.0077]]), tensor([[0.0874]]), tensor([[0.1739]]), tensor([[0.0558]]), tensor([[0.0687]]), tensor([[0.0423]]), tensor([[0.3491]]), tensor([[0.0801]]), tensor([[0.0581]]), tensor([[-0.0077]]), tensor([[0.0605]]), tensor([[0.1477]]), tensor([[0.1114]])]"
2,fraud,"[tensor([[-0.0418]]), tensor([[0.0436]]), tensor([[0.0887]]), tensor([[0.1213]]), tensor([[-0.0017]]), tensor([[0.0506]]), tensor([[0.0190]]), tensor([[-0.0681]]), tensor([[0.0907]]), tensor([[0.1190]]), tensor([[-0.0017]]), tensor([[-0.0654]]), tensor([[0.0382]]), tensor([[-0.0749]]), tensor([[0.0238]]), tensor([[0.0907]]), tensor([[-0.0040]]), tensor([[-0.0388]]), tensor([[-0.0714]]), tensor([[-0.0984]]), tensor([[0.0193]]), tensor([[0.0178]]), tensor([[-0.0128]]), tensor([[-0.0271]]), tensor([[0.0907]]), tensor([[0.1829]]), tensor([[-0.0040]]), tensor([[-0.0046]]), tensor([[-0.0714]]), tensor([[0.0360]]), tensor([[-0.0415]]), tensor([[0.0068]]), tensor([[0.0887]]), tensor([[0.0824]]), tensor([[-0.0040]]), tensor([[0.0335]]), tensor([[-0.0714]]), tensor([[-0.0136]]), tensor([[0.0269]]), tensor([[0.0053]]), tensor([[-0.0030]]), tensor([[0.0835]]), tensor([[0.0490]]), tensor([[-0.0017]]), tensor([[-0.0007]]), tensor([[0.0828]]), tensor([[0.0454]]), tensor([[0.0907]]), tensor([[-0.0325]]), tensor([[-0.0434]]), tensor([[-0.0040]]), tensor([[0.0512]]), tensor([[0.0531]]), tensor([[-0.0714]]), tensor([[0.0188]]), tensor([[0.0387]]), tensor([[-0.0452]]), tensor([[-0.0984]]), tensor([[0.0441]]), tensor([[0.0887]]), tensor([[0.0667]]), tensor([[-0.0040]]), tensor([[-0.0746]]), tensor([[-0.0714]]), tensor([[-0.0066]]), tensor([[-0.0705]]), tensor([[-0.0791]]), tensor([[-0.0314]]), tensor([[0.0752]]), tensor([[0.0191]]), tensor([[-0.0040]]), tensor([[0.0098]]), tensor([[-0.0714]]), tensor([[-0.0914]]), tensor([[0.0246]]), tensor([[0.0120]])]"
3,social issues,"[tensor([[-0.0685]]), tensor([[0.0669]]), tensor([[0.1555]]), tensor([[0.0031]]), tensor([[0.0487]]), tensor([[-0.0711]]), tensor([[0.0515]]), tensor([[0.0108]]), tensor([[0.1388]]), tensor([[0.1601]]), tensor([[0.0487]]), tensor([[-0.0586]]), tensor([[0.1226]]), tensor([[0.0662]]), tensor([[0.0866]]), tensor([[0.1388]]), tensor([[0.0970]]), tensor([[0.1409]]), tensor([[0.0499]]), tensor([[0.0755]]), tensor([[0.1566]]), tensor([[0.0166]]), tensor([[-0.0392]]), tensor([[0.1379]]), tensor([[0.1388]]), tensor([[0.1159]]), tensor([[0.0970]]), tensor([[-0.1020]]), tensor([[0.0499]]), tensor([[0.0720]]), tensor([[0.1293]]), tensor([[0.1164]]), tensor([[0.1555]]), tensor([[0.2340]]), tensor([[0.0970]]), tensor([[0.2019]]), tensor([[0.0499]]), tensor([[-0.0481]]), tensor([[0.0287]]), tensor([[-0.0203]]), tensor([[0.0196]]), tensor([[0.1621]]), tensor([[0.1545]]), tensor([[0.0487]]), tensor([[-0.0048]]), tensor([[0.0827]]), tensor([[0.2051]]), tensor([[0.1388]]), tensor([[0.0685]]), tensor([[-0.0355]]), tensor([[0.0970]]), tensor([[0.1736]]), tensor([[0.0527]]), tensor([[0.0499]]), tensor([[-0.0409]]), tensor([[-0.0104]]), tensor([[0.0506]]), tensor([[-0.0792]]), tensor([[0.1247]]), tensor([[0.1555]]), tensor([[0.1607]]), tensor([[0.0970]]), tensor([[0.0185]]), tensor([[0.0499]]), tensor([[0.0095]]), tensor([[0.1032]]), tensor([[0.0455]]), tensor([[0.1838]]), tensor([[0.1482]]), tensor([[0.1866]]), tensor([[0.0970]]), tensor([[0.0102]]), tensor([[0.0499]]), tensor([[-0.0255]]), tensor([[0.1636]]), tensor([[0.0278]])]"
4,labour law,"[tensor([[0.0681]]), tensor([[0.0732]]), tensor([[0.0888]]), tensor([[0.1368]]), tensor([[-0.1075]]), tensor([[0.1345]]), tensor([[-0.0604]]), tensor([[-0.0077]]), tensor([[0.0726]]), tensor([[0.0001]]), tensor([[-0.1075]]), tensor([[-0.0721]]), tensor([[0.0987]]), tensor([[-0.0413]]), tensor([[0.0832]]), tensor([[0.0726]]), tensor([[-0.0818]]), tensor([[-0.0764]]), tensor([[-0.0416]]), tensor([[-0.0161]]), tensor([[0.0382]]), tensor([[-0.0312]]), tensor([[-0.0028]]), tensor([[-0.0591]]), tensor([[0.0726]]), tensor([[0.0113]]), tensor([[-0.0818]]), tensor([[0.0228]]), tensor([[-0.0416]]), tensor([[-0.0367]]), tensor([[-0.0156]]), tensor([[-0.0614]]), tensor([[0.0888]]), tensor([[0.0319]]), tensor([[-0.0818]]), tensor([[0.0773]]), tensor([[-0.0416]]), tensor([[0.0730]]), tensor([[-0.0723]]), tensor([[0.1054]]), tensor([[0.1072]]), tensor([[0.0195]]), tensor([[0.1924]]), tensor([[-0.1075]]), tensor([[0.1550]]), tensor([[0.2012]]), tensor([[0.2567]]), tensor([[0.0726]]), tensor([[0.2292]]), tensor([[0.1286]]), tensor([[-0.0818]]), tensor([[0.2198]]), tensor([[0.0251]]), tensor([[-0.0416]]), tensor([[0.1715]]), tensor([[-0.0639]]), tensor([[0.1639]]), tensor([[0.0585]]), tensor([[0.1913]]), tensor([[0.0888]]), tensor([[0.1634]]), tensor([[-0.0818]]), tensor([[0.0389]]), tensor([[-0.0416]]), tensor([[-0.0351]]), tensor([[0.1026]]), tensor([[0.1403]]), tensor([[0.0139]]), tensor([[0.0505]]), tensor([[0.2644]]), tensor([[-0.0818]]), tensor([[0.0510]]), tensor([[-0.0416]]), tensor([[0.0470]]), tensor([[0.1165]]), tensor([[0.1027]])]"
