,Label,Cosine Similarity Mean
0,sustainability,"[tensor([[-0.0049]]), tensor([[0.0115]]), tensor([[-0.0424]]), tensor([[0.0369]]), tensor([[-0.1351]]), tensor([[-0.0047]]), tensor([[-0.0340]]), tensor([[0.1301]]), tensor([[0.1570]]), tensor([[0.0906]]), tensor([[0.0539]]), tensor([[-0.0592]]), tensor([[0.0047]]), tensor([[-0.0485]]), tensor([[0.0518]]), tensor([[-0.0373]]), tensor([[0.0545]]), tensor([[0.1489]]), tensor([[0.0097]]), tensor([[-0.0214]]), tensor([[-0.0369]]), tensor([[0.0333]]), tensor([[-0.0559]]), tensor([[0.0574]]), tensor([[0.1342]]), tensor([[-0.0248]]), tensor([[0.0199]]), tensor([[-0.0385]]), tensor([[0.0324]]), tensor([[-0.0275]]), tensor([[0.0978]]), tensor([[0.0890]]), tensor([[-0.0143]]), tensor([[0.0828]]), tensor([[0.0507]]), tensor([[0.0762]])]"
1,human rights,"[tensor([[0.0285]]), tensor([[-0.0285]]), tensor([[0.1168]]), tensor([[-0.0126]]), tensor([[0.0951]]), tensor([[-0.0228]]), tensor([[0.0172]]), tensor([[0.0592]]), tensor([[0.1043]]), tensor([[0.0295]]), tensor([[0.0622]]), tensor([[0.0368]]), tensor([[0.0235]]), tensor([[0.0513]]), tensor([[-0.0250]]), tensor([[0.0099]]), tensor([[0.0949]]), tensor([[0.0944]]), tensor([[0.1373]]), tensor([[0.0129]]), tensor([[-0.0265]]), tensor([[0.0920]]), tensor([[0.0938]]), tensor([[0.0576]]), tensor([[-0.0130]]), tensor([[-0.0396]]), tensor([[-0.0919]]), tensor([[-0.0533]]), tensor([[0.0377]]), tensor([[0.1153]]), tensor([[-0.1017]]), tensor([[0.0754]]), tensor([[0.0391]]), tensor([[0.0845]]), tensor([[0.1263]]), tensor([[-0.0004]])]"
2,fraud,"[tensor([[0.0255]]), tensor([[0.0321]]), tensor([[0.1614]]), tensor([[0.0378]]), tensor([[0.1026]]), tensor([[0.1211]]), tensor([[0.1441]]), tensor([[0.0264]]), tensor([[0.1325]]), tensor([[0.0540]]), tensor([[0.0368]]), tensor([[0.0002]]), tensor([[0.0087]]), tensor([[-0.0387]]), tensor([[0.0548]]), tensor([[0.0018]]), tensor([[0.0088]]), tensor([[-0.0106]]), tensor([[-0.0263]]), tensor([[-0.0466]]), tensor([[-0.0003]]), tensor([[0.1085]]), tensor([[0.1230]]), tensor([[0.0489]]), tensor([[0.0393]]), tensor([[0.0328]]), tensor([[0.0804]]), tensor([[-0.0079]]), tensor([[0.0614]]), tensor([[0.2098]]), tensor([[0.0725]]), tensor([[0.0410]]), tensor([[0.1703]]), tensor([[-0.0007]]), tensor([[0.0224]]), tensor([[-0.0439]])]"
3,social issues,"[tensor([[0.1234]]), tensor([[0.0994]]), tensor([[0.1264]]), tensor([[0.0587]]), tensor([[0.0504]]), tensor([[0.1364]]), tensor([[0.0156]]), tensor([[0.1583]]), tensor([[0.3166]]), tensor([[0.0130]]), tensor([[0.1785]]), tensor([[-0.0223]]), tensor([[0.0718]]), tensor([[0.0267]]), tensor([[0.0648]]), tensor([[0.0466]]), tensor([[0.2453]]), tensor([[0.2016]]), tensor([[0.1330]]), tensor([[-0.0061]]), tensor([[0.0537]]), tensor([[0.1685]]), tensor([[0.1291]]), tensor([[-0.0007]]), tensor([[0.1018]]), tensor([[0.0027]]), tensor([[0.0706]]), tensor([[-0.0576]]), tensor([[0.1424]]), tensor([[0.0634]]), tensor([[0.0067]]), tensor([[0.1608]]), tensor([[0.0099]]), tensor([[0.0093]]), tensor([[0.0793]]), tensor([[0.0271]])]"
4,labour law,"[tensor([[0.0501]]), tensor([[0.0032]]), tensor([[0.1298]]), tensor([[0.0518]]), tensor([[0.0825]]), tensor([[-0.0029]]), tensor([[0.0013]]), tensor([[0.0377]]), tensor([[0.0423]]), tensor([[0.0737]]), tensor([[0.1280]]), tensor([[-0.0665]]), tensor([[-0.0016]]), tensor([[-0.0320]]), tensor([[-0.0733]]), tensor([[0.0400]]), tensor([[-0.0079]]), tensor([[0.0922]]), tensor([[0.0577]]), tensor([[0.0232]]), tensor([[0.0975]]), tensor([[-0.0032]]), tensor([[0.0385]]), tensor([[0.1816]]), tensor([[-0.0962]]), tensor([[-0.0632]]), tensor([[-0.1228]]), tensor([[-0.1151]]), tensor([[-0.0142]]), tensor([[0.2499]]), tensor([[-0.0272]]), tensor([[0.1131]]), tensor([[0.0166]]), tensor([[0.0993]]), tensor([[0.1199]]), tensor([[0.1043]])]"
