,Label,Cosine Similarity Mean
0,sustainability,"[tensor([[-0.0774]]), tensor([[0.2685]]), tensor([[0.3490]]), tensor([[0.2290]]), tensor([[0.3562]]), tensor([[0.1480]]), tensor([[0.2232]]), tensor([[0.1376]]), tensor([[0.0456]]), tensor([[0.1074]]), tensor([[0.0723]]), tensor([[0.2541]]), tensor([[0.1795]]), tensor([[0.1319]]), tensor([[0.3113]]), tensor([[0.2065]]), tensor([[0.1161]]), tensor([[-0.0177]]), tensor([[0.3792]]), tensor([[0.1928]]), tensor([[0.1564]]), tensor([[0.0671]]), tensor([[0.3145]]), tensor([[0.2365]]), tensor([[0.1389]]), tensor([[0.3613]]), tensor([[0.3896]]), tensor([[0.3249]]), tensor([[0.3307]]), tensor([[0.1573]]), tensor([[0.1191]]), tensor([[-0.0397]])]"
1,human rights,"[tensor([[0.0384]]), tensor([[0.1019]]), tensor([[-0.0034]]), tensor([[0.0719]]), tensor([[0.1368]]), tensor([[0.0888]]), tensor([[0.0255]]), tensor([[-0.0113]]), tensor([[0.0029]]), tensor([[-0.0506]]), tensor([[-8.2310e-06]]), tensor([[0.0661]]), tensor([[0.0200]]), tensor([[-0.0251]]), tensor([[0.1026]]), tensor([[-0.0162]]), tensor([[-0.1061]]), tensor([[-0.1272]]), tensor([[0.0799]]), tensor([[0.0117]]), tensor([[0.0175]]), tensor([[-0.0517]]), tensor([[0.2907]]), tensor([[0.3011]]), tensor([[0.0721]]), tensor([[0.1511]]), tensor([[0.1557]]), tensor([[0.1616]]), tensor([[0.0809]]), tensor([[-0.0619]]), tensor([[0.0843]]), tensor([[0.0896]])]"
2,fraud,"[tensor([[-0.1011]]), tensor([[-0.0442]]), tensor([[-0.1423]]), tensor([[0.0085]]), tensor([[-0.0092]]), tensor([[-0.0549]]), tensor([[-0.0447]]), tensor([[-0.0570]]), tensor([[-0.0428]]), tensor([[0.0166]]), tensor([[0.0344]]), tensor([[0.0238]]), tensor([[-0.0268]]), tensor([[-0.0070]]), tensor([[-0.0698]]), tensor([[-0.0978]]), tensor([[-0.0343]]), tensor([[0.0109]]), tensor([[0.0044]]), tensor([[-0.0006]]), tensor([[-0.0664]]), tensor([[-0.0451]]), tensor([[0.0404]]), tensor([[0.1045]]), tensor([[-0.0273]]), tensor([[0.0468]]), tensor([[-0.0180]]), tensor([[0.1130]]), tensor([[-0.0131]]), tensor([[-0.0016]]), tensor([[-0.0302]]), tensor([[-0.0699]])]"
3,social issues,"[tensor([[0.0798]]), tensor([[0.1257]]), tensor([[0.0163]]), tensor([[0.0993]]), tensor([[0.2024]]), tensor([[0.1329]]), tensor([[0.0339]]), tensor([[-0.0106]]), tensor([[-0.0161]]), tensor([[-0.0017]]), tensor([[0.0024]]), tensor([[0.0698]]), tensor([[0.0212]]), tensor([[-0.0418]]), tensor([[0.1004]]), tensor([[-0.0337]]), tensor([[-0.0213]]), tensor([[-0.1301]]), tensor([[0.0325]]), tensor([[0.0686]]), tensor([[0.0642]]), tensor([[-0.0274]]), tensor([[0.1681]]), tensor([[0.1720]]), tensor([[0.0322]]), tensor([[0.1575]]), tensor([[0.1810]]), tensor([[0.2736]]), tensor([[0.1191]]), tensor([[-0.0031]]), tensor([[0.0921]]), tensor([[0.0120]])]"
4,labour law,"[tensor([[-0.0201]]), tensor([[-0.0222]]), tensor([[-0.0867]]), tensor([[-0.0563]]), tensor([[-0.0017]]), tensor([[-0.0226]]), tensor([[0.0398]]), tensor([[0.0648]]), tensor([[0.0609]]), tensor([[-0.0464]]), tensor([[-0.0482]]), tensor([[0.0930]]), tensor([[-0.0631]]), tensor([[-0.0129]]), tensor([[0.0413]]), tensor([[0.0013]]), tensor([[-0.0604]]), tensor([[-0.1295]]), tensor([[-0.0438]]), tensor([[-0.0281]]), tensor([[0.0071]]), tensor([[-0.0298]]), tensor([[0.1770]]), tensor([[0.3347]]), tensor([[0.0414]]), tensor([[0.0595]]), tensor([[-0.0273]]), tensor([[0.0025]]), tensor([[0.0048]]), tensor([[-0.0801]]), tensor([[0.1132]]), tensor([[-0.0047]])]"
