,Label,Cosine Similarity Mean
0,sustainability,"[tensor([[0.3910]]), tensor([[0.4235]]), tensor([[0.1360]]), tensor([[0.4800]]), tensor([[0.2677]]), tensor([[0.1825]]), tensor([[0.0418]]), tensor([[0.3929]]), tensor([[0.1687]]), tensor([[0.3306]]), tensor([[0.2686]]), tensor([[0.0845]]), tensor([[0.2497]]), tensor([[0.0253]]), tensor([[0.1494]]), tensor([[0.1179]]), tensor([[0.0813]]), tensor([[0.0289]]), tensor([[0.4325]]), tensor([[0.0286]]), tensor([[0.4131]]), tensor([[0.5408]]), tensor([[0.1364]]), tensor([[0.2799]]), tensor([[0.2720]]), tensor([[0.1735]]), tensor([[0.3787]]), tensor([[0.2479]]), tensor([[0.3208]]), tensor([[0.1200]]), tensor([[0.0475]]), tensor([[0.2602]]), tensor([[0.3912]]), tensor([[0.1089]]), tensor([[0.2064]]), tensor([[0.2258]]), tensor([[0.2896]]), tensor([[0.2124]]), tensor([[0.1430]]), tensor([[0.0561]]), tensor([[0.1119]]), tensor([[0.3117]]), tensor([[0.1940]]), tensor([[0.3705]]), tensor([[0.1379]]), tensor([[0.3370]]), tensor([[-0.0098]]), tensor([[0.1016]]), tensor([[0.2344]]), tensor([[0.1871]]), tensor([[0.3143]]), tensor([[0.1436]]), tensor([[0.0865]]), tensor([[0.0575]]), tensor([[0.0277]]), tensor([[0.1530]]), tensor([[0.2466]]), tensor([[0.4113]]), tensor([[0.4593]]), tensor([[-0.0169]]), tensor([[0.5039]]), tensor([[0.3265]]), tensor([[0.2202]]), tensor([[0.0941]]), tensor([[0.3697]]), tensor([[0.2702]]), tensor([[0.4152]]), tensor([[0.1795]]), tensor([[0.1830]]), tensor([[0.1361]]), tensor([[0.1119]]), tensor([[0.1165]]), tensor([[0.4366]]), tensor([[0.2412]]), tensor([[0.3090]]), tensor([[0.0882]]), tensor([[0.3369]]), tensor([[0.1688]]), tensor([[0.1864]]), tensor([[0.5075]]), tensor([[0.3318]]), tensor([[0.4350]]), tensor([[0.3456]]), tensor([[0.1084]]), tensor([[0.1675]]), tensor([[0.1015]]), tensor([[0.3231]]), tensor([[0.0739]]), tensor([[0.0407]]), tensor([[0.2377]]), tensor([[0.1399]]), tensor([[0.4505]]), tensor([[0.0851]]), tensor([[0.1319]]), tensor([[0.2046]]), tensor([[0.3061]]), tensor([[0.3512]]), tensor([[0.1314]]), tensor([[0.1359]]), tensor([[0.2413]]), tensor([[0.4366]]), tensor([[0.2641]]), tensor([[0.0096]]), tensor([[0.1603]]), tensor([[0.2710]]), tensor([[0.2293]]), tensor([[0.1113]]), tensor([[0.0545]]), tensor([[0.1428]]), tensor([[0.0279]]), tensor([[0.0281]]), tensor([[0.0855]]), tensor([[0.3690]]), tensor([[0.1767]]), tensor([[0.2262]]), tensor([[0.1096]]), tensor([[0.1244]]), tensor([[0.2162]]), tensor([[-0.0269]]), tensor([[0.4537]]), tensor([[0.1465]]), tensor([[0.2138]]), tensor([[0.1819]]), tensor([[0.3998]]), tensor([[0.0972]]), tensor([[0.1435]]), tensor([[0.2351]]), tensor([[0.2357]]), tensor([[0.2035]]), tensor([[0.1459]]), tensor([[0.1054]]), tensor([[0.3010]]), tensor([[0.4453]]), tensor([[0.4156]]), tensor([[0.4488]]), tensor([[0.5607]]), tensor([[0.5407]]), tensor([[0.5153]]), tensor([[0.4201]]), tensor([[0.4874]]), tensor([[0.4974]]), tensor([[0.4778]]), tensor([[0.3717]]), tensor([[0.3208]]), tensor([[0.3507]]), tensor([[0.5220]]), tensor([[0.1738]]), tensor([[0.4374]]), tensor([[0.3795]])]"
1,human rights,"[tensor([[0.0784]]), tensor([[0.0798]]), tensor([[0.0776]]), tensor([[0.1148]]), tensor([[0.0409]]), tensor([[0.0426]]), tensor([[0.0269]]), tensor([[0.1669]]), tensor([[0.0211]]), tensor([[0.0980]]), tensor([[0.0876]]), tensor([[-0.0059]]), tensor([[0.0749]]), tensor([[0.0263]]), tensor([[0.0402]]), tensor([[0.0367]]), tensor([[-0.0121]]), tensor([[-0.0279]]), tensor([[0.2253]]), tensor([[-0.0105]]), tensor([[0.0771]]), tensor([[0.1683]]), tensor([[-0.0283]]), tensor([[-0.0048]]), tensor([[0.0113]]), tensor([[0.0312]]), tensor([[0.0697]]), tensor([[0.0447]]), tensor([[0.0848]]), tensor([[0.1386]]), tensor([[-0.0179]]), tensor([[0.1073]]), tensor([[0.2739]]), tensor([[0.1535]]), tensor([[-0.0007]]), tensor([[0.2818]]), tensor([[0.1324]]), tensor([[0.1398]]), tensor([[0.1044]]), tensor([[0.0981]]), tensor([[0.0904]]), tensor([[0.0701]]), tensor([[0.0994]]), tensor([[0.1321]]), tensor([[0.1635]]), tensor([[0.0699]]), tensor([[-0.0487]]), tensor([[0.0353]]), tensor([[0.0228]]), tensor([[0.0984]]), tensor([[0.0777]]), tensor([[0.5906]]), tensor([[0.1096]]), tensor([[0.0449]]), tensor([[0.0449]]), tensor([[0.2626]]), tensor([[0.2302]]), tensor([[0.1015]]), tensor([[0.1532]]), tensor([[-0.0390]]), tensor([[0.0681]]), tensor([[0.0922]]), tensor([[0.0070]]), tensor([[0.0130]]), tensor([[0.1231]]), tensor([[0.0642]]), tensor([[0.1939]]), tensor([[0.0132]]), tensor([[0.0977]]), tensor([[0.0071]]), tensor([[0.0486]]), tensor([[0.0538]]), tensor([[0.1448]]), tensor([[-0.0240]]), tensor([[0.0391]]), tensor([[0.0930]]), tensor([[0.0876]]), tensor([[0.0982]]), tensor([[-0.0759]]), tensor([[0.2295]]), tensor([[0.1166]]), tensor([[0.1677]]), tensor([[0.0938]]), tensor([[-0.0162]]), tensor([[0.1684]]), tensor([[0.0208]]), tensor([[0.0999]]), tensor([[0.0558]]), tensor([[0.0178]]), tensor([[0.0017]]), tensor([[0.0038]]), tensor([[0.2128]]), tensor([[0.0343]]), tensor([[0.0395]]), tensor([[0.1026]]), tensor([[0.1068]]), tensor([[0.0291]]), tensor([[0.0098]]), tensor([[-0.0490]]), tensor([[-0.0167]]), tensor([[0.1448]]), tensor([[0.0805]]), tensor([[0.0948]]), tensor([[0.0739]]), tensor([[0.1297]]), tensor([[0.1743]]), tensor([[0.0169]]), tensor([[0.0196]]), tensor([[0.1159]]), tensor([[0.0832]]), tensor([[0.0332]]), tensor([[0.0476]]), tensor([[0.1310]]), tensor([[0.0530]]), tensor([[0.1344]]), tensor([[0.1336]]), tensor([[0.0472]]), tensor([[0.1248]]), tensor([[0.0451]]), tensor([[0.1835]]), tensor([[0.0165]]), tensor([[0.0436]]), tensor([[-0.0046]]), tensor([[0.1565]]), tensor([[-0.0248]]), tensor([[0.0336]]), tensor([[0.0388]]), tensor([[0.0886]]), tensor([[0.0241]]), tensor([[0.0583]]), tensor([[-0.0171]]), tensor([[0.0322]]), tensor([[0.1757]]), tensor([[0.1594]]), tensor([[0.1315]]), tensor([[0.1150]]), tensor([[0.0893]]), tensor([[0.0822]]), tensor([[0.1312]]), tensor([[0.1494]]), tensor([[0.2864]]), tensor([[0.4251]]), tensor([[0.0774]]), tensor([[0.1783]]), tensor([[0.0508]]), tensor([[0.1572]]), tensor([[0.1444]]), tensor([[0.0745]]), tensor([[0.0225]])]"
2,fraud,"[tensor([[0.0120]]), tensor([[-0.0653]]), tensor([[0.0402]]), tensor([[-0.0031]]), tensor([[-0.0146]]), tensor([[0.0711]]), tensor([[0.0630]]), tensor([[-0.0876]]), tensor([[0.0201]]), tensor([[0.0140]]), tensor([[-0.0010]]), tensor([[0.1256]]), tensor([[-0.0087]]), tensor([[0.0957]]), tensor([[0.1302]]), tensor([[0.1694]]), tensor([[-0.0639]]), tensor([[0.1221]]), tensor([[-0.0917]]), tensor([[0.1051]]), tensor([[0.0337]]), tensor([[-0.0034]]), tensor([[0.0268]]), tensor([[-0.0315]]), tensor([[-0.0511]]), tensor([[0.0952]]), tensor([[-0.0062]]), tensor([[0.1393]]), tensor([[0.0555]]), tensor([[0.1957]]), tensor([[-0.0669]]), tensor([[0.1045]]), tensor([[0.1852]]), tensor([[0.4132]]), tensor([[0.1306]]), tensor([[0.2845]]), tensor([[0.0515]]), tensor([[0.0948]]), tensor([[0.1003]]), tensor([[0.3960]]), tensor([[0.1384]]), tensor([[0.0859]]), tensor([[-0.0031]]), tensor([[0.0477]]), tensor([[0.0469]]), tensor([[0.0429]]), tensor([[0.0215]]), tensor([[0.0248]]), tensor([[0.0663]]), tensor([[0.1211]]), tensor([[-0.0987]]), tensor([[0.0848]]), tensor([[0.1009]]), tensor([[0.1266]]), tensor([[-0.0192]]), tensor([[0.1120]]), tensor([[0.0923]]), tensor([[0.0823]]), tensor([[0.0559]]), tensor([[-0.0274]]), tensor([[0.0464]]), tensor([[0.0450]]), tensor([[-0.0649]]), tensor([[-0.1068]]), tensor([[-0.0315]]), tensor([[0.0235]]), tensor([[0.1952]]), tensor([[0.1434]]), tensor([[0.1975]]), tensor([[0.2123]]), tensor([[0.1181]]), tensor([[0.1090]]), tensor([[-0.0155]]), tensor([[0.0891]]), tensor([[0.0544]]), tensor([[0.1590]]), tensor([[0.0621]]), tensor([[0.0795]]), tensor([[0.0829]]), tensor([[0.0919]]), tensor([[0.0547]]), tensor([[0.2005]]), tensor([[0.0280]]), tensor([[0.0392]]), tensor([[0.1402]]), tensor([[0.1409]]), tensor([[0.0386]]), tensor([[0.0495]]), tensor([[0.1688]]), tensor([[0.0302]]), tensor([[0.1388]]), tensor([[0.0118]]), tensor([[0.0561]]), tensor([[0.1139]]), tensor([[0.1936]]), tensor([[0.0705]]), tensor([[0.0039]]), tensor([[0.0263]]), tensor([[0.0733]]), tensor([[0.0712]]), tensor([[-0.0155]]), tensor([[0.1183]]), tensor([[0.0852]]), tensor([[0.2194]]), tensor([[0.1367]]), tensor([[0.1401]]), tensor([[0.0871]]), tensor([[0.0679]]), tensor([[0.0436]]), tensor([[0.0796]]), tensor([[-0.0326]]), tensor([[0.1114]]), tensor([[0.0799]]), tensor([[0.0576]]), tensor([[0.0588]]), tensor([[-0.0798]]), tensor([[0.0526]]), tensor([[0.0779]]), tensor([[0.0699]]), tensor([[0.1167]]), tensor([[0.0039]]), tensor([[-0.0462]]), tensor([[0.0069]]), tensor([[0.0156]]), tensor([[0.0811]]), tensor([[0.0394]]), tensor([[-0.0168]]), tensor([[0.0975]]), tensor([[0.0207]]), tensor([[0.0246]]), tensor([[0.1253]]), tensor([[-0.0161]]), tensor([[0.3108]]), tensor([[0.1533]]), tensor([[0.0390]]), tensor([[0.0119]]), tensor([[0.0251]]), tensor([[0.0010]]), tensor([[0.0298]]), tensor([[0.0224]]), tensor([[0.0102]]), tensor([[0.0697]]), tensor([[-0.0307]]), tensor([[0.0662]]), tensor([[0.0425]]), tensor([[0.0433]]), tensor([[0.2118]]), tensor([[0.0194]]), tensor([[0.0003]])]"
3,social issues,"[tensor([[0.0131]]), tensor([[0.0426]]), tensor([[-0.0239]]), tensor([[0.1848]]), tensor([[0.0280]]), tensor([[0.0911]]), tensor([[0.0899]]), tensor([[0.0438]]), tensor([[-0.0297]]), tensor([[0.0292]]), tensor([[0.1295]]), tensor([[-0.0344]]), tensor([[0.0859]]), tensor([[-0.0695]]), tensor([[0.0327]]), tensor([[-0.0005]]), tensor([[-0.1371]]), tensor([[-0.0244]]), tensor([[0.2369]]), tensor([[-0.0850]]), tensor([[0.0744]]), tensor([[0.1389]]), tensor([[-0.0102]]), tensor([[-0.0272]]), tensor([[0.0446]]), tensor([[0.0716]]), tensor([[0.1062]]), tensor([[0.0624]]), tensor([[0.0243]]), tensor([[0.0175]]), tensor([[-0.0842]]), tensor([[0.1194]]), tensor([[0.2165]]), tensor([[0.2733]]), tensor([[-0.0254]]), tensor([[0.2349]]), tensor([[0.1809]]), tensor([[0.1965]]), tensor([[0.0529]]), tensor([[0.0980]]), tensor([[0.1107]]), tensor([[0.2148]]), tensor([[0.1487]]), tensor([[0.1911]]), tensor([[0.2661]]), tensor([[0.0282]]), tensor([[-0.0870]]), tensor([[-0.0701]]), tensor([[0.0288]]), tensor([[0.1506]]), tensor([[0.0284]]), tensor([[0.4171]]), tensor([[0.1135]]), tensor([[0.0175]]), tensor([[0.0165]]), tensor([[0.1345]]), tensor([[0.3016]]), tensor([[0.1653]]), tensor([[0.1037]]), tensor([[-0.0420]]), tensor([[0.0895]]), tensor([[0.1091]]), tensor([[-0.0099]]), tensor([[-0.0962]]), tensor([[0.1383]]), tensor([[0.0565]]), tensor([[0.1734]]), tensor([[0.1219]]), tensor([[0.1309]]), tensor([[0.0011]]), tensor([[-0.0383]]), tensor([[-0.0130]]), tensor([[0.0781]]), tensor([[0.0110]]), tensor([[-0.0279]]), tensor([[0.0569]]), tensor([[0.1168]]), tensor([[0.1578]]), tensor([[-0.0398]]), tensor([[0.4619]]), tensor([[0.2136]]), tensor([[0.2801]]), tensor([[0.0328]]), tensor([[-0.0670]]), tensor([[0.0587]]), tensor([[0.0449]]), tensor([[0.0611]]), tensor([[0.0401]]), tensor([[-0.0100]]), tensor([[-0.0037]]), tensor([[0.0140]]), tensor([[0.2726]]), tensor([[0.0486]]), tensor([[-0.0001]]), tensor([[0.0982]]), tensor([[0.0784]]), tensor([[0.0629]]), tensor([[0.0277]]), tensor([[0.0219]]), tensor([[0.0312]]), tensor([[0.0781]]), tensor([[0.0772]]), tensor([[0.0486]]), tensor([[-0.0403]]), tensor([[0.0558]]), tensor([[0.1393]]), tensor([[-0.0308]]), tensor([[-0.0374]]), tensor([[0.1561]]), tensor([[-0.0295]]), tensor([[-0.0167]]), tensor([[0.0091]]), tensor([[0.0662]]), tensor([[0.1139]]), tensor([[0.1776]]), tensor([[0.2831]]), tensor([[-0.0219]]), tensor([[0.0855]]), tensor([[-0.0130]]), tensor([[0.1161]]), tensor([[0.0249]]), tensor([[-0.0713]]), tensor([[-0.0914]]), tensor([[-0.0089]]), tensor([[-0.0502]]), tensor([[0.0137]]), tensor([[-0.0673]]), tensor([[-0.0506]]), tensor([[-0.0324]]), tensor([[-0.0491]]), tensor([[0.0280]]), tensor([[-0.0214]]), tensor([[0.2016]]), tensor([[0.1724]]), tensor([[0.1170]]), tensor([[0.1436]]), tensor([[0.1269]]), tensor([[0.0978]]), tensor([[0.1707]]), tensor([[0.2653]]), tensor([[0.2943]]), tensor([[0.3333]]), tensor([[0.1723]]), tensor([[0.1286]]), tensor([[0.1004]]), tensor([[0.1852]]), tensor([[0.0906]]), tensor([[0.0868]]), tensor([[-0.0171]])]"
4,labour law,"[tensor([[-0.0373]]), tensor([[-0.0245]]), tensor([[-0.0067]]), tensor([[-0.0758]]), tensor([[-0.1376]]), tensor([[-0.0197]]), tensor([[-0.0039]]), tensor([[0.0161]]), tensor([[-0.0254]]), tensor([[-0.0163]]), tensor([[0.0286]]), tensor([[0.0031]]), tensor([[0.0418]]), tensor([[-0.0372]]), tensor([[0.0654]]), tensor([[0.0340]]), tensor([[-0.0172]]), tensor([[0.0217]]), tensor([[0.0946]]), tensor([[-0.0131]]), tensor([[0.0483]]), tensor([[-0.0254]]), tensor([[-0.0459]]), tensor([[-0.1012]]), tensor([[-0.0447]]), tensor([[0.0569]]), tensor([[-0.0315]]), tensor([[0.0171]]), tensor([[0.0245]]), tensor([[0.0529]]), tensor([[-0.0228]]), tensor([[0.1060]]), tensor([[0.1553]]), tensor([[0.2054]]), tensor([[-0.0202]]), tensor([[0.2597]]), tensor([[0.0510]]), tensor([[0.1392]]), tensor([[0.0329]]), tensor([[0.1044]]), tensor([[0.1075]]), tensor([[-0.0229]]), tensor([[0.0386]]), tensor([[-0.0317]]), tensor([[0.3270]]), tensor([[-0.0728]]), tensor([[-0.0854]]), tensor([[-0.0130]]), tensor([[-0.1044]]), tensor([[0.0663]]), tensor([[-0.1002]]), tensor([[0.2418]]), tensor([[0.0754]]), tensor([[0.0275]]), tensor([[-0.0361]]), tensor([[0.3811]]), tensor([[0.2924]]), tensor([[0.0698]]), tensor([[0.0512]]), tensor([[0.0305]]), tensor([[-0.0396]]), tensor([[0.0645]]), tensor([[0.0814]]), tensor([[-0.0231]]), tensor([[0.0684]]), tensor([[0.0295]]), tensor([[0.0189]]), tensor([[0.0713]]), tensor([[0.0588]]), tensor([[0.0897]]), tensor([[-0.0010]]), tensor([[0.0343]]), tensor([[0.0216]]), tensor([[-0.1309]]), tensor([[-0.0926]]), tensor([[0.0610]]), tensor([[-0.1579]]), tensor([[-0.0755]]), tensor([[-0.1070]]), tensor([[0.0881]]), tensor([[-0.0301]]), tensor([[0.0101]]), tensor([[-0.0670]]), tensor([[-0.0538]]), tensor([[0.1829]]), tensor([[0.0937]]), tensor([[-0.0175]]), tensor([[-0.1223]]), tensor([[-0.0780]]), tensor([[-0.0141]]), tensor([[-0.1178]]), tensor([[0.1415]]), tensor([[0.0675]]), tensor([[-0.0199]]), tensor([[5.3819e-05]]), tensor([[-0.0337]]), tensor([[-0.0508]]), tensor([[0.0200]]), tensor([[-0.0424]]), tensor([[-0.0396]]), tensor([[0.0216]]), tensor([[0.0335]]), tensor([[0.2437]]), tensor([[0.1021]]), tensor([[0.1052]]), tensor([[0.1190]]), tensor([[0.1593]]), tensor([[0.0287]]), tensor([[0.2106]]), tensor([[0.1939]]), tensor([[0.1871]]), tensor([[0.0434]]), tensor([[0.0617]]), tensor([[0.1229]]), tensor([[0.0743]]), tensor([[0.1958]]), tensor([[0.1862]]), tensor([[0.1957]]), tensor([[0.2812]]), tensor([[0.0274]]), tensor([[0.0372]]), tensor([[-0.0047]]), tensor([[0.0007]]), tensor([[0.1134]]), tensor([[-0.0107]]), tensor([[0.0350]]), tensor([[-0.0127]]), tensor([[0.1116]]), tensor([[0.0447]]), tensor([[0.0486]]), tensor([[-0.0078]]), tensor([[0.0324]]), tensor([[0.1455]]), tensor([[0.2130]]), tensor([[0.1146]]), tensor([[0.0896]]), tensor([[0.0722]]), tensor([[0.1031]]), tensor([[0.2769]]), tensor([[0.0993]]), tensor([[0.2227]]), tensor([[0.1774]]), tensor([[0.0460]]), tensor([[0.3743]]), tensor([[0.2121]]), tensor([[0.0859]]), tensor([[0.0748]]), tensor([[0.0327]]), tensor([[0.0200]])]"
