,Label,Cosine Similarity Mean
0,sustainability,"[tensor([[-0.0277]]), tensor([[0.0412]]), tensor([[0.0416]]), tensor([[-0.0020]]), tensor([[0.0465]]), tensor([[-0.0289]]), tensor([[0.0569]]), tensor([[-0.0338]]), tensor([[0.0422]]), tensor([[0.0147]]), tensor([[-0.0031]]), tensor([[0.0075]]), tensor([[0.0950]]), tensor([[-0.0215]]), tensor([[0.0913]]), tensor([[0.0072]]), tensor([[-0.1008]]), tensor([[0.0392]]), tensor([[-0.0024]]), tensor([[0.1121]]), tensor([[-0.0057]]), tensor([[0.1437]]), tensor([[0.0685]]), tensor([[0.0098]]), tensor([[0.0432]]), tensor([[0.0087]]), tensor([[0.0523]]), tensor([[-0.0122]]), tensor([[-0.0154]]), tensor([[0.0535]]), tensor([[0.0817]]), tensor([[-0.0375]]), tensor([[0.0068]]), tensor([[0.0231]]), tensor([[0.0217]]), tensor([[0.0674]]), tensor([[0.0322]]), tensor([[0.0719]]), tensor([[-0.0590]]), tensor([[0.0550]]), tensor([[0.0733]]), tensor([[0.0563]]), tensor([[0.1340]]), tensor([[0.0731]]), tensor([[0.0189]]), tensor([[0.0382]]), tensor([[0.0880]]), tensor([[-0.0091]]), tensor([[0.0373]]), tensor([[0.0744]]), tensor([[0.0032]]), tensor([[-0.0139]]), tensor([[0.0323]]), tensor([[0.0632]]), tensor([[0.0348]]), tensor([[0.0220]]), tensor([[0.0392]]), tensor([[0.0135]]), tensor([[0.0649]]), tensor([[0.0578]]), tensor([[0.1128]]), tensor([[0.1106]]), tensor([[0.0428]]), tensor([[-0.0191]]), tensor([[-0.0262]]), tensor([[0.0618]]), tensor([[0.0886]]), tensor([[0.0136]]), tensor([[0.0657]]), tensor([[0.1297]]), tensor([[0.0763]]), tensor([[0.0207]]), tensor([[0.0338]]), tensor([[-0.0098]]), tensor([[-0.0100]]), tensor([[-0.0054]]), tensor([[-0.0043]]), tensor([[0.0596]]), tensor([[0.0487]]), tensor([[0.0082]]), tensor([[-0.0302]]), tensor([[0.0571]]), tensor([[0.0837]]), tensor([[0.0168]]), tensor([[0.0011]]), tensor([[-0.0256]]), tensor([[0.0879]]), tensor([[0.0037]]), tensor([[0.0101]]), tensor([[0.0352]]), tensor([[0.0244]]), tensor([[0.0754]]), tensor([[-0.0022]]), tensor([[0.0621]]), tensor([[0.0829]]), tensor([[0.0389]]), tensor([[0.0151]]), tensor([[0.0005]]), tensor([[0.0011]])]"
1,human rights,"[tensor([[0.0115]]), tensor([[0.0056]]), tensor([[0.0591]]), tensor([[0.0080]]), tensor([[-0.0712]]), tensor([[0.0397]]), tensor([[0.1312]]), tensor([[0.0056]]), tensor([[0.1575]]), tensor([[0.0286]]), tensor([[0.0499]]), tensor([[0.1226]]), tensor([[0.1283]]), tensor([[-0.0027]]), tensor([[0.1026]]), tensor([[0.1152]]), tensor([[0.0056]]), tensor([[0.0053]]), tensor([[0.0051]]), tensor([[0.1238]]), tensor([[0.0517]]), tensor([[0.1176]]), tensor([[0.0905]]), tensor([[0.0330]]), tensor([[-0.0340]]), tensor([[0.1053]]), tensor([[0.0547]]), tensor([[0.0196]]), tensor([[0.0256]]), tensor([[0.0930]]), tensor([[0.0652]]), tensor([[0.0757]]), tensor([[0.0923]]), tensor([[0.0027]]), tensor([[0.1026]]), tensor([[0.0322]]), tensor([[0.0778]]), tensor([[0.1127]]), tensor([[0.0819]]), tensor([[0.0421]]), tensor([[0.1902]]), tensor([[0.0610]]), tensor([[0.0005]]), tensor([[0.0834]]), tensor([[-0.0002]]), tensor([[0.0769]]), tensor([[0.0842]]), tensor([[0.0361]]), tensor([[0.0031]]), tensor([[0.0705]]), tensor([[0.0650]]), tensor([[0.0225]]), tensor([[0.0936]]), tensor([[0.1136]]), tensor([[0.1035]]), tensor([[0.0799]]), tensor([[0.0405]]), tensor([[0.0333]]), tensor([[0.1041]]), tensor([[0.1342]]), tensor([[0.2422]]), tensor([[0.1073]]), tensor([[0.0438]]), tensor([[-0.0144]]), tensor([[0.0045]]), tensor([[0.0772]]), tensor([[0.1230]]), tensor([[0.0628]]), tensor([[0.0563]]), tensor([[0.1237]]), tensor([[0.0835]]), tensor([[0.0659]]), tensor([[0.0604]]), tensor([[0.0155]]), tensor([[0.0432]]), tensor([[0.0077]]), tensor([[0.0469]]), tensor([[0.0244]]), tensor([[0.0522]]), tensor([[0.0146]]), tensor([[0.0263]]), tensor([[0.1316]]), tensor([[0.0539]]), tensor([[0.0476]]), tensor([[0.0490]]), tensor([[0.0205]]), tensor([[0.1183]]), tensor([[0.0086]]), tensor([[0.0697]]), tensor([[0.0570]]), tensor([[0.0731]]), tensor([[0.1096]]), tensor([[0.0508]]), tensor([[0.0307]]), tensor([[0.0576]]), tensor([[0.0040]]), tensor([[0.0128]]), tensor([[-0.0331]]), tensor([[0.0490]])]"
2,fraud,"[tensor([[0.1108]]), tensor([[0.0149]]), tensor([[-0.0036]]), tensor([[0.0634]]), tensor([[-0.0037]]), tensor([[-0.0277]]), tensor([[-0.0238]]), tensor([[-8.1299e-05]]), tensor([[0.0996]]), tensor([[0.0819]]), tensor([[0.0607]]), tensor([[0.0980]]), tensor([[0.0872]]), tensor([[0.0284]]), tensor([[0.0552]]), tensor([[0.0105]]), tensor([[-0.0241]]), tensor([[0.0229]]), tensor([[-0.0492]]), tensor([[0.0242]]), tensor([[0.1376]]), tensor([[0.1022]]), tensor([[0.0571]]), tensor([[0.0350]]), tensor([[-0.0036]]), tensor([[0.0101]]), tensor([[0.0256]]), tensor([[0.0703]]), tensor([[0.0880]]), tensor([[0.1199]]), tensor([[0.0444]]), tensor([[-0.0215]]), tensor([[0.1134]]), tensor([[-0.1296]]), tensor([[0.0411]]), tensor([[0.0369]]), tensor([[-0.0328]]), tensor([[0.0843]]), tensor([[0.0587]]), tensor([[0.0737]]), tensor([[-0.0623]]), tensor([[0.0034]]), tensor([[-0.0106]]), tensor([[0.0819]]), tensor([[0.0633]]), tensor([[-0.0946]]), tensor([[0.0137]]), tensor([[0.0517]]), tensor([[0.0148]]), tensor([[-0.0270]]), tensor([[-0.0516]]), tensor([[0.0446]]), tensor([[-0.0182]]), tensor([[0.0469]]), tensor([[-0.0249]]), tensor([[0.0620]]), tensor([[0.0649]]), tensor([[0.0553]]), tensor([[-0.0214]]), tensor([[-0.0208]]), tensor([[-0.0144]]), tensor([[0.0663]]), tensor([[0.0583]]), tensor([[0.0754]]), tensor([[0.1906]]), tensor([[-0.0587]]), tensor([[-0.0029]]), tensor([[0.0683]]), tensor([[0.0049]]), tensor([[0.0669]]), tensor([[0.0849]]), tensor([[0.1409]]), tensor([[0.0104]]), tensor([[0.1273]]), tensor([[-0.0191]]), tensor([[-0.0486]]), tensor([[0.0888]]), tensor([[0.0438]]), tensor([[-0.0219]]), tensor([[0.0145]]), tensor([[-0.0803]]), tensor([[0.0906]]), tensor([[0.0275]]), tensor([[0.0601]]), tensor([[0.0278]]), tensor([[0.0767]]), tensor([[0.0816]]), tensor([[0.0527]]), tensor([[0.0053]]), tensor([[0.0586]]), tensor([[-0.0080]]), tensor([[0.0454]]), tensor([[0.0421]]), tensor([[0.0045]]), tensor([[0.0144]]), tensor([[-0.0716]]), tensor([[0.0453]]), tensor([[0.0677]]), tensor([[0.0278]])]"
3,social issues,"[tensor([[0.1421]]), tensor([[0.1411]]), tensor([[0.0109]]), tensor([[0.0986]]), tensor([[-0.0736]]), tensor([[0.0776]]), tensor([[0.0373]]), tensor([[-0.0472]]), tensor([[0.0895]]), tensor([[0.1387]]), tensor([[0.0822]]), tensor([[0.1638]]), tensor([[0.0803]]), tensor([[0.0172]]), tensor([[0.0737]]), tensor([[0.1127]]), tensor([[0.0194]]), tensor([[0.0566]]), tensor([[0.0808]]), tensor([[0.1719]]), tensor([[0.0600]]), tensor([[0.1923]]), tensor([[-0.0058]]), tensor([[0.1165]]), tensor([[0.0315]]), tensor([[0.1169]]), tensor([[0.0172]]), tensor([[0.0995]]), tensor([[0.0597]]), tensor([[0.0917]]), tensor([[0.0505]]), tensor([[0.0016]]), tensor([[0.1712]]), tensor([[0.0942]]), tensor([[0.0530]]), tensor([[0.0170]]), tensor([[0.0760]]), tensor([[0.0586]]), tensor([[0.1298]]), tensor([[0.1824]]), tensor([[0.1007]]), tensor([[0.0749]]), tensor([[-0.0488]]), tensor([[0.1494]]), tensor([[0.0969]]), tensor([[0.0397]]), tensor([[0.0389]]), tensor([[0.1011]]), tensor([[0.0606]]), tensor([[0.0518]]), tensor([[-0.0026]]), tensor([[0.0928]]), tensor([[0.1407]]), tensor([[0.0013]]), tensor([[0.0690]]), tensor([[0.0678]]), tensor([[0.1269]]), tensor([[-0.0259]]), tensor([[0.0938]]), tensor([[0.0119]]), tensor([[0.1104]]), tensor([[0.1017]]), tensor([[0.0803]]), tensor([[0.0203]]), tensor([[0.0517]]), tensor([[0.0631]]), tensor([[0.0379]]), tensor([[0.0118]]), tensor([[0.0446]]), tensor([[0.1078]]), tensor([[0.0722]]), tensor([[0.1563]]), tensor([[0.1620]]), tensor([[0.0110]]), tensor([[0.2633]]), tensor([[0.0171]]), tensor([[0.1178]]), tensor([[0.0310]]), tensor([[0.0117]]), tensor([[0.0988]]), tensor([[0.1096]]), tensor([[0.0181]]), tensor([[0.1552]]), tensor([[0.0419]]), tensor([[0.0451]]), tensor([[0.1167]]), tensor([[0.1433]]), tensor([[0.0872]]), tensor([[0.0662]]), tensor([[0.1327]]), tensor([[0.1593]]), tensor([[0.1320]]), tensor([[0.0438]]), tensor([[0.0235]]), tensor([[0.0213]]), tensor([[0.0579]]), tensor([[0.0148]]), tensor([[0.0986]]), tensor([[0.0451]])]"
4,labour law,"[tensor([[0.0584]]), tensor([[0.1156]]), tensor([[0.0373]]), tensor([[-0.0499]]), tensor([[-0.0722]]), tensor([[0.0584]]), tensor([[0.0230]]), tensor([[0.0351]]), tensor([[0.1108]]), tensor([[0.0236]]), tensor([[0.0612]]), tensor([[0.0267]]), tensor([[-0.0011]]), tensor([[0.0165]]), tensor([[0.0914]]), tensor([[0.0600]]), tensor([[0.0705]]), tensor([[0.0003]]), tensor([[0.0249]]), tensor([[0.1436]]), tensor([[0.0353]]), tensor([[0.0725]]), tensor([[0.0611]]), tensor([[0.0662]]), tensor([[-0.0539]]), tensor([[0.0396]]), tensor([[0.0866]]), tensor([[0.0742]]), tensor([[0.0246]]), tensor([[0.0644]]), tensor([[0.1129]]), tensor([[0.0144]]), tensor([[0.0011]]), tensor([[0.0060]]), tensor([[0.0573]]), tensor([[-0.0262]]), tensor([[0.0238]]), tensor([[0.0072]]), tensor([[0.0647]]), tensor([[0.0131]]), tensor([[0.0447]]), tensor([[0.0464]]), tensor([[0.0331]]), tensor([[0.0706]]), tensor([[0.0683]]), tensor([[-0.0206]]), tensor([[-0.0138]]), tensor([[-0.0048]]), tensor([[0.0068]]), tensor([[-0.0020]]), tensor([[0.0457]]), tensor([[0.0467]]), tensor([[-0.0191]]), tensor([[0.0319]]), tensor([[0.0387]]), tensor([[-0.0172]]), tensor([[0.1263]]), tensor([[0.0674]]), tensor([[0.1425]]), tensor([[0.0231]]), tensor([[0.1487]]), tensor([[0.1062]]), tensor([[0.0503]]), tensor([[0.0364]]), tensor([[0.0166]]), tensor([[0.0819]]), tensor([[0.1584]]), tensor([[0.0724]]), tensor([[0.0887]]), tensor([[0.0614]]), tensor([[0.0476]]), tensor([[0.0653]]), tensor([[0.0431]]), tensor([[0.1132]]), tensor([[0.0701]]), tensor([[0.0501]]), tensor([[0.0833]]), tensor([[-0.0014]]), tensor([[0.0741]]), tensor([[0.0098]]), tensor([[0.0298]]), tensor([[0.0297]]), tensor([[0.0073]]), tensor([[0.0222]]), tensor([[0.0485]]), tensor([[0.1026]]), tensor([[0.0237]]), tensor([[0.0553]]), tensor([[-0.0399]]), tensor([[0.0658]]), tensor([[0.0366]]), tensor([[0.0282]]), tensor([[0.0416]]), tensor([[-0.0001]]), tensor([[0.0640]]), tensor([[-0.0655]]), tensor([[0.0516]]), tensor([[0.0778]]), tensor([[0.0485]])]"
