,Label,Zero Shot Score Raw,Classified Text
0,sustainability,[0.3633575141429901],[]
1,human rights,[0.2253992259502411],[]
2,fraud,[0.1979840248823166],[]
3,social issues,[0.17478343844413757],[]
4,labour law,[0.03847579285502434],[]
