,Label,Cosine Similarity Mean
0,sustainability,"[tensor([[0.4423]]), tensor([[0.4110]]), tensor([[0.2271]]), tensor([[0.1864]]), tensor([[0.1132]]), tensor([[0.0277]]), tensor([[0.3455]]), tensor([[0.2198]]), tensor([[0.3372]]), tensor([[0.2560]]), tensor([[0.4569]]), tensor([[0.4512]]), tensor([[0.2874]]), tensor([[0.5040]]), tensor([[0.5454]]), tensor([[0.3323]]), tensor([[0.4046]]), tensor([[0.0766]]), tensor([[0.4911]]), tensor([[0.2910]]), tensor([[0.4157]]), tensor([[0.2454]]), tensor([[0.3390]]), tensor([[0.1927]]), tensor([[0.1632]]), tensor([[0.2089]]), tensor([[0.3601]]), tensor([[-0.0611]]), tensor([[0.3073]]), tensor([[0.2081]]), tensor([[0.2083]]), tensor([[0.2230]]), tensor([[0.1683]]), tensor([[0.1223]]), tensor([[0.1621]]), tensor([[0.1276]]), tensor([[0.2625]]), tensor([[0.1581]]), tensor([[0.3363]]), tensor([[0.3283]]), tensor([[0.1199]]), tensor([[0.2352]]), tensor([[0.1499]]), tensor([[0.1127]]), tensor([[0.0755]]), tensor([[0.0253]]), tensor([[0.1440]]), tensor([[0.2451]]), tensor([[0.1125]]), tensor([[0.0689]]), tensor([[0.0266]]), tensor([[0.1537]]), tensor([[0.0782]]), tensor([[0.2098]]), tensor([[0.0494]]), tensor([[0.1477]]), tensor([[0.0385]]), tensor([[0.1977]]), tensor([[0.0071]]), tensor([[0.0740]]), tensor([[0.4586]]), tensor([[0.0731]]), tensor([[0.1363]]), tensor([[0.1727]]), tensor([[-0.0100]]), tensor([[0.3378]]), tensor([[0.0246]]), tensor([[0.0983]]), tensor([[0.3107]])]"
1,human rights,"[tensor([[0.1378]]), tensor([[0.1179]]), tensor([[0.1800]]), tensor([[0.1108]]), tensor([[0.1714]]), tensor([[0.0720]]), tensor([[0.1716]]), tensor([[0.2593]]), tensor([[0.1579]]), tensor([[0.0451]]), tensor([[0.1882]]), tensor([[0.1400]]), tensor([[0.2151]]), tensor([[0.1750]]), tensor([[0.0623]]), tensor([[0.0620]]), tensor([[0.0769]]), tensor([[0.1798]]), tensor([[-0.0023]]), tensor([[-7.4189e-06]]), tensor([[0.0054]]), tensor([[0.0846]]), tensor([[-0.0124]]), tensor([[0.1088]]), tensor([[0.0415]]), tensor([[0.0220]]), tensor([[0.1397]]), tensor([[0.0491]]), tensor([[0.2349]]), tensor([[0.2111]]), tensor([[0.0243]]), tensor([[0.0313]]), tensor([[-0.0476]]), tensor([[0.1266]]), tensor([[0.1258]]), tensor([[-0.0536]]), tensor([[0.2411]]), tensor([[0.1558]]), tensor([[0.1186]]), tensor([[0.1224]]), tensor([[0.2439]]), tensor([[-0.0536]]), tensor([[0.0682]]), tensor([[0.1456]]), tensor([[0.1085]]), tensor([[0.2675]]), tensor([[0.1123]]), tensor([[0.1289]]), tensor([[0.1402]]), tensor([[0.0216]]), tensor([[0.0242]]), tensor([[0.0891]]), tensor([[0.0663]]), tensor([[0.1240]]), tensor([[-0.0305]]), tensor([[0.0102]]), tensor([[0.1665]]), tensor([[0.0361]]), tensor([[0.0305]]), tensor([[0.0951]]), tensor([[0.1293]]), tensor([[0.0926]]), tensor([[0.0569]]), tensor([[0.0706]]), tensor([[-0.0518]]), tensor([[0.0262]]), tensor([[0.1244]]), tensor([[0.0807]]), tensor([[0.2256]])]"
2,fraud,"[tensor([[-0.0786]]), tensor([[-0.0284]]), tensor([[-0.1033]]), tensor([[-0.0240]]), tensor([[-0.1184]]), tensor([[-0.0511]]), tensor([[-0.0198]]), tensor([[-0.0080]]), tensor([[-0.0203]]), tensor([[-0.0390]]), tensor([[0.0117]]), tensor([[0.0374]]), tensor([[-0.0671]]), tensor([[-0.0308]]), tensor([[-0.0576]]), tensor([[0.0675]]), tensor([[0.0046]]), tensor([[0.0492]]), tensor([[-0.0234]]), tensor([[-0.0668]]), tensor([[-0.0088]]), tensor([[-0.0505]]), tensor([[-0.0229]]), tensor([[0.0646]]), tensor([[-0.0415]]), tensor([[-0.0422]]), tensor([[0.0534]]), tensor([[-0.0480]]), tensor([[-0.0302]]), tensor([[0.0056]]), tensor([[0.0083]]), tensor([[-0.0120]]), tensor([[-0.0699]]), tensor([[-0.0468]]), tensor([[0.0352]]), tensor([[0.0112]]), tensor([[-0.0173]]), tensor([[0.1793]]), tensor([[0.0244]]), tensor([[0.0763]]), tensor([[0.0189]]), tensor([[0.0198]]), tensor([[-0.0133]]), tensor([[0.1078]]), tensor([[0.0474]]), tensor([[0.0184]]), tensor([[0.0593]]), tensor([[-0.0272]]), tensor([[0.0047]]), tensor([[0.0590]]), tensor([[0.0576]]), tensor([[0.0139]]), tensor([[-0.0521]]), tensor([[0.0098]]), tensor([[0.0160]]), tensor([[-0.0540]]), tensor([[0.0619]]), tensor([[0.0427]]), tensor([[0.0288]]), tensor([[0.0298]]), tensor([[-0.0442]]), tensor([[-0.0248]]), tensor([[-0.0517]]), tensor([[0.0758]]), tensor([[0.0544]]), tensor([[0.0313]]), tensor([[-0.0607]]), tensor([[0.0114]]), tensor([[-0.0500]])]"
3,social issues,"[tensor([[0.2262]]), tensor([[0.1340]]), tensor([[0.1113]]), tensor([[0.1301]]), tensor([[0.1063]]), tensor([[-0.0284]]), tensor([[0.1024]]), tensor([[0.1614]]), tensor([[0.1515]]), tensor([[-0.0558]]), tensor([[0.1724]]), tensor([[0.3631]]), tensor([[0.1885]]), tensor([[0.1602]]), tensor([[0.1882]]), tensor([[0.1016]]), tensor([[0.1814]]), tensor([[0.0346]]), tensor([[0.1495]]), tensor([[0.0593]]), tensor([[0.1177]]), tensor([[0.0677]]), tensor([[0.0690]]), tensor([[-0.0073]]), tensor([[0.0988]]), tensor([[-0.0341]]), tensor([[0.1125]]), tensor([[-0.0253]]), tensor([[0.1292]]), tensor([[0.0772]]), tensor([[0.0415]]), tensor([[0.0140]]), tensor([[-0.0475]]), tensor([[0.0086]]), tensor([[0.1142]]), tensor([[0.0777]]), tensor([[0.0956]]), tensor([[0.0552]]), tensor([[0.1223]]), tensor([[0.0804]]), tensor([[0.0228]]), tensor([[0.0837]]), tensor([[0.0619]]), tensor([[0.0589]]), tensor([[0.0237]]), tensor([[0.0200]]), tensor([[0.1258]]), tensor([[0.1487]]), tensor([[0.1103]]), tensor([[0.0414]]), tensor([[-0.0071]]), tensor([[0.1196]]), tensor([[0.0713]]), tensor([[-0.0257]]), tensor([[0.0605]]), tensor([[-0.0255]]), tensor([[-0.0514]]), tensor([[0.0628]]), tensor([[0.0048]]), tensor([[0.1551]]), tensor([[0.1705]]), tensor([[-0.0712]]), tensor([[-0.0211]]), tensor([[-0.0185]]), tensor([[0.0456]]), tensor([[0.0824]]), tensor([[0.0330]]), tensor([[-0.0459]]), tensor([[0.0552]])]"
4,labour law,"[tensor([[0.1107]]), tensor([[0.0333]]), tensor([[0.0770]]), tensor([[-0.0197]]), tensor([[0.1044]]), tensor([[-0.0292]]), tensor([[0.0359]]), tensor([[0.1059]]), tensor([[0.1632]]), tensor([[-0.0839]]), tensor([[0.1247]]), tensor([[0.1369]]), tensor([[0.2284]]), tensor([[0.0537]]), tensor([[-0.0242]]), tensor([[-0.0409]]), tensor([[0.0115]]), tensor([[0.0235]]), tensor([[-0.0006]]), tensor([[-0.0990]]), tensor([[-0.0157]]), tensor([[-0.0786]]), tensor([[0.0218]]), tensor([[0.0150]]), tensor([[-0.0540]]), tensor([[-0.1056]]), tensor([[0.0464]]), tensor([[0.0238]]), tensor([[0.0962]]), tensor([[0.0967]]), tensor([[0.0333]]), tensor([[-0.0148]]), tensor([[-0.0791]]), tensor([[0.0377]]), tensor([[0.1244]]), tensor([[-0.0566]]), tensor([[0.3415]]), tensor([[0.1836]]), tensor([[0.0957]]), tensor([[0.0351]]), tensor([[0.1570]]), tensor([[-0.0516]]), tensor([[-0.0084]]), tensor([[0.0022]]), tensor([[0.0803]]), tensor([[0.1458]]), tensor([[0.0515]]), tensor([[0.0195]]), tensor([[-0.0479]]), tensor([[-0.0582]]), tensor([[-0.0464]]), tensor([[-0.0327]]), tensor([[-0.0485]]), tensor([[0.0230]]), tensor([[-0.0106]]), tensor([[-0.0856]]), tensor([[0.1009]]), tensor([[-0.0015]]), tensor([[0.0317]]), tensor([[-0.0771]]), tensor([[0.0686]]), tensor([[0.0481]]), tensor([[0.0266]]), tensor([[-0.0489]]), tensor([[-0.0406]]), tensor([[0.0266]]), tensor([[0.0539]]), tensor([[-0.0531]]), tensor([[0.0818]])]"
