,Label,Cosine Similarity Mean
0,sustainability,"[tensor([[0.4244]]), tensor([[0.0856]]), tensor([[0.0628]]), tensor([[0.4518]]), tensor([[0.4127]]), tensor([[0.0437]]), tensor([[0.4290]]), tensor([[0.4813]]), tensor([[0.3732]]), tensor([[0.2958]]), tensor([[0.1459]]), tensor([[0.2285]]), tensor([[0.6239]]), tensor([[0.4614]]), tensor([[0.2700]]), tensor([[0.2819]]), tensor([[0.3244]]), tensor([[0.3215]]), tensor([[0.3638]]), tensor([[0.2971]]), tensor([[0.3627]]), tensor([[0.3580]]), tensor([[0.0936]]), tensor([[0.0511]]), tensor([[0.2074]]), tensor([[0.2051]]), tensor([[0.0250]]), tensor([[0.1636]]), tensor([[0.2047]]), tensor([[0.1847]]), tensor([[0.1504]]), tensor([[0.1035]]), tensor([[0.1986]]), tensor([[0.3095]]), tensor([[0.1959]]), tensor([[0.1591]]), tensor([[0.2280]]), tensor([[0.2314]]), tensor([[0.3465]]), tensor([[-0.0040]]), tensor([[0.1232]]), tensor([[0.0910]]), tensor([[0.0580]]), tensor([[0.1879]]), tensor([[0.1173]]), tensor([[0.2662]]), tensor([[0.0748]]), tensor([[0.1118]]), tensor([[0.1139]]), tensor([[0.0581]]), tensor([[0.0577]]), tensor([[0.1660]]), tensor([[0.1961]]), tensor([[0.1682]]), tensor([[0.1427]]), tensor([[0.1393]]), tensor([[0.4059]]), tensor([[0.1841]]), tensor([[0.1604]]), tensor([[0.2802]]), tensor([[0.2280]]), tensor([[0.3492]]), tensor([[0.3580]]), tensor([[0.1331]]), tensor([[0.1075]]), tensor([[0.0464]]), tensor([[0.1508]]), tensor([[0.0893]]), tensor([[0.1379]]), tensor([[0.1826]]), tensor([[0.1075]]), tensor([[0.1859]]), tensor([[-0.0769]]), tensor([[0.1249]]), tensor([[0.1548]]), tensor([[0.1579]]), tensor([[0.0692]]), tensor([[0.0763]]), tensor([[0.1821]]), tensor([[-0.0393]]), tensor([[0.2646]]), tensor([[0.3062]]), tensor([[-0.0769]]), tensor([[0.2513]]), tensor([[0.1688]]), tensor([[0.3526]]), tensor([[0.1823]]), tensor([[0.1640]]), tensor([[-0.0139]]), tensor([[0.0864]]), tensor([[0.0835]]), tensor([[0.0591]]), tensor([[0.1530]]), tensor([[0.2016]]), tensor([[0.2663]]), tensor([[-0.1127]]), tensor([[0.0707]]), tensor([[0.3474]]), tensor([[0.2571]]), tensor([[0.1436]]), tensor([[0.2119]]), tensor([[0.1112]]), tensor([[0.0694]]), tensor([[0.2022]]), tensor([[-0.1127]]), tensor([[0.1057]]), tensor([[0.1296]]), tensor([[0.1441]]), tensor([[0.2840]]), tensor([[0.3536]]), tensor([[0.4122]]), tensor([[0.2238]]), tensor([[0.2815]]), tensor([[0.2388]]), tensor([[0.1099]]), tensor([[0.3984]]), tensor([[0.3263]]), tensor([[0.0630]]), tensor([[0.3241]]), tensor([[0.1469]]), tensor([[0.1805]]), tensor([[0.0986]]), tensor([[0.0264]]), tensor([[0.0112]]), tensor([[0.2799]]), tensor([[0.0935]]), tensor([[-0.0158]]), tensor([[0.0733]]), tensor([[0.1162]]), tensor([[0.3277]]), tensor([[0.1951]]), tensor([[0.1966]]), tensor([[0.2027]]), tensor([[0.1313]]), tensor([[0.1706]]), tensor([[0.1067]]), tensor([[0.1339]]), tensor([[-0.0044]]), tensor([[0.1188]]), tensor([[-0.0095]]), tensor([[0.1252]]), tensor([[0.1585]]), tensor([[0.1823]]), tensor([[0.1281]]), tensor([[0.1250]]), tensor([[0.2922]]), tensor([[0.3472]]), tensor([[0.3575]]), tensor([[0.2710]]), tensor([[0.2934]]), tensor([[0.2785]]), tensor([[0.2113]]), tensor([[0.3199]]), tensor([[0.0324]]), tensor([[0.1401]]), tensor([[0.2667]]), tensor([[0.2783]]), tensor([[0.2359]]), tensor([[0.2333]]), tensor([[0.3150]]), tensor([[-0.0179]]), tensor([[0.3350]]), tensor([[0.1598]]), tensor([[0.2398]]), tensor([[0.2390]]), tensor([[0.3411]]), tensor([[0.1630]]), tensor([[0.2014]]), tensor([[0.3700]]), tensor([[0.2821]]), tensor([[0.2522]]), tensor([[0.2446]]), tensor([[0.2572]]), tensor([[0.3575]]), tensor([[0.2791]]), tensor([[0.3801]]), tensor([[0.2871]]), tensor([[0.2289]]), tensor([[0.2057]]), tensor([[0.1424]]), tensor([[0.2768]]), tensor([[0.1958]]), tensor([[-0.0097]]), tensor([[0.2487]]), tensor([[0.1389]]), tensor([[0.2778]]), tensor([[0.0822]]), tensor([[0.2493]]), tensor([[0.0477]]), tensor([[0.3035]]), tensor([[0.1400]]), tensor([[0.0714]]), tensor([[0.1899]]), tensor([[0.1005]]), tensor([[0.0208]]), tensor([[0.2064]]), tensor([[0.2265]]), tensor([[0.3304]]), tensor([[0.1056]])]"
1,human rights,"[tensor([[0.0937]]), tensor([[-0.0558]]), tensor([[-0.0295]]), tensor([[0.1384]]), tensor([[0.1788]]), tensor([[0.0257]]), tensor([[0.2337]]), tensor([[0.1918]]), tensor([[0.0960]]), tensor([[0.0716]]), tensor([[-0.0820]]), tensor([[0.0657]]), tensor([[0.1239]]), tensor([[0.0794]]), tensor([[0.0197]]), tensor([[0.1141]]), tensor([[0.1477]]), tensor([[0.0846]]), tensor([[0.1362]]), tensor([[0.0691]]), tensor([[0.0442]]), tensor([[-0.0131]]), tensor([[0.0334]]), tensor([[0.0185]]), tensor([[0.1371]]), tensor([[0.0639]]), tensor([[-0.0719]]), tensor([[-0.0162]]), tensor([[0.0387]]), tensor([[-0.0807]]), tensor([[-0.0152]]), tensor([[-0.0393]]), tensor([[-0.0777]]), tensor([[0.0903]]), tensor([[0.0368]]), tensor([[0.0585]]), tensor([[0.0991]]), tensor([[0.0562]]), tensor([[0.0360]]), tensor([[-0.1031]]), tensor([[-0.0845]]), tensor([[-0.0524]]), tensor([[-0.0674]]), tensor([[0.0871]]), tensor([[0.0479]]), tensor([[0.1173]]), tensor([[-0.0467]]), tensor([[0.0722]]), tensor([[-0.0118]]), tensor([[-0.0083]]), tensor([[-0.0397]]), tensor([[-0.0163]]), tensor([[-0.0382]]), tensor([[0.1703]]), tensor([[0.0659]]), tensor([[0.0154]]), tensor([[0.0886]]), tensor([[-0.0611]]), tensor([[0.0151]]), tensor([[0.0263]]), tensor([[-0.0037]]), tensor([[0.1110]]), tensor([[-0.0131]]), tensor([[0.0438]]), tensor([[-0.0136]]), tensor([[-0.0174]]), tensor([[0.0741]]), tensor([[0.0220]]), tensor([[0.0161]]), tensor([[0.0699]]), tensor([[0.0759]]), tensor([[0.0947]]), tensor([[-0.0307]]), tensor([[0.0088]]), tensor([[-0.0242]]), tensor([[-0.0428]]), tensor([[-0.1047]]), tensor([[-0.0133]]), tensor([[0.0514]]), tensor([[-0.0335]]), tensor([[0.0964]]), tensor([[0.1398]]), tensor([[-0.0307]]), tensor([[0.0083]]), tensor([[0.0490]]), tensor([[0.0926]]), tensor([[0.0338]]), tensor([[0.0685]]), tensor([[0.0677]]), tensor([[0.0077]]), tensor([[0.0463]]), tensor([[-0.0478]]), tensor([[-0.0269]]), tensor([[0.0777]]), tensor([[-0.0065]]), tensor([[0.0009]]), tensor([[0.0515]]), tensor([[0.0210]]), tensor([[0.0008]]), tensor([[-0.0669]]), tensor([[0.0229]]), tensor([[-0.0560]]), tensor([[0.0138]]), tensor([[-0.0515]]), tensor([[0.0009]]), tensor([[-0.0505]]), tensor([[0.0442]]), tensor([[0.0374]]), tensor([[0.1273]]), tensor([[0.0515]]), tensor([[0.1517]]), tensor([[0.0604]]), tensor([[0.0242]]), tensor([[0.0912]]), tensor([[-0.0330]]), tensor([[0.0293]]), tensor([[0.1121]]), tensor([[-0.0818]]), tensor([[0.0511]]), tensor([[-0.0153]]), tensor([[0.0145]]), tensor([[-0.1231]]), tensor([[-0.0824]]), tensor([[-0.0792]]), tensor([[-0.0194]]), tensor([[0.0765]]), tensor([[0.0289]]), tensor([[0.0057]]), tensor([[0.0308]]), tensor([[0.1473]]), tensor([[0.0409]]), tensor([[0.0916]]), tensor([[0.0505]]), tensor([[-0.0095]]), tensor([[-0.0577]]), tensor([[-0.0142]]), tensor([[-0.0158]]), tensor([[-0.0632]]), tensor([[0.0238]]), tensor([[0.0377]]), tensor([[0.0160]]), tensor([[-0.0680]]), tensor([[-0.0245]]), tensor([[-0.0740]]), tensor([[-0.0316]]), tensor([[-0.0285]]), tensor([[0.0760]]), tensor([[0.0468]]), tensor([[0.0897]]), tensor([[0.0866]]), tensor([[0.1009]]), tensor([[0.0539]]), tensor([[0.0631]]), tensor([[0.0077]]), tensor([[0.0098]]), tensor([[0.0609]]), tensor([[0.0212]]), tensor([[0.0446]]), tensor([[-0.0565]]), tensor([[0.0835]]), tensor([[0.0187]]), tensor([[-0.0083]]), tensor([[0.0647]]), tensor([[0.0834]]), tensor([[0.0458]]), tensor([[0.0243]]), tensor([[-0.0258]]), tensor([[0.0039]]), tensor([[0.0546]]), tensor([[-0.0143]]), tensor([[0.1405]]), tensor([[0.0508]]), tensor([[0.0136]]), tensor([[0.0924]]), tensor([[0.0500]]), tensor([[0.0699]]), tensor([[0.0038]]), tensor([[-0.0096]]), tensor([[0.0387]]), tensor([[0.0232]]), tensor([[0.0566]]), tensor([[0.0093]]), tensor([[-0.1237]]), tensor([[0.0149]]), tensor([[-0.0224]]), tensor([[0.0708]]), tensor([[0.0493]]), tensor([[0.0612]]), tensor([[-0.0295]]), tensor([[-0.0036]]), tensor([[0.0019]]), tensor([[-0.0081]]), tensor([[0.0257]]), tensor([[-0.0159]]), tensor([[-0.0424]]), tensor([[0.0722]]), tensor([[0.0373]]), tensor([[0.0565]]), tensor([[-0.0539]])]"
2,fraud,"[tensor([[-0.0888]]), tensor([[-0.0572]]), tensor([[-0.0351]]), tensor([[-0.0189]]), tensor([[-0.0361]]), tensor([[0.0014]]), tensor([[0.0133]]), tensor([[-0.0668]]), tensor([[-0.1193]]), tensor([[-0.0160]]), tensor([[-0.0488]]), tensor([[-0.0529]]), tensor([[-0.0492]]), tensor([[-0.0325]]), tensor([[-0.0898]]), tensor([[-0.0300]]), tensor([[0.0564]]), tensor([[-0.0511]]), tensor([[-0.0623]]), tensor([[-0.0565]]), tensor([[-0.1057]]), tensor([[-0.2082]]), tensor([[-0.0282]]), tensor([[-0.0699]]), tensor([[0.0100]]), tensor([[0.0588]]), tensor([[-0.0082]]), tensor([[0.0533]]), tensor([[-0.0185]]), tensor([[0.0150]]), tensor([[-0.0090]]), tensor([[-0.0432]]), tensor([[-0.1021]]), tensor([[0.0456]]), tensor([[0.0105]]), tensor([[-0.0359]]), tensor([[0.0662]]), tensor([[-0.0132]]), tensor([[0.0321]]), tensor([[0.0117]]), tensor([[-0.0203]]), tensor([[-0.1027]]), tensor([[-0.0263]]), tensor([[-0.0159]]), tensor([[0.0801]]), tensor([[0.0238]]), tensor([[-0.0329]]), tensor([[0.0029]]), tensor([[-0.0670]]), tensor([[-0.0294]]), tensor([[-0.0353]]), tensor([[-0.0016]]), tensor([[-0.0400]]), tensor([[0.0467]]), tensor([[0.0204]]), tensor([[0.0112]]), tensor([[-0.0357]]), tensor([[-0.0317]]), tensor([[0.0110]]), tensor([[0.0551]]), tensor([[-0.0795]]), tensor([[-0.1810]]), tensor([[-0.2082]]), tensor([[-0.1516]]), tensor([[-0.1026]]), tensor([[-0.1546]]), tensor([[-0.0232]]), tensor([[-0.0667]]), tensor([[-0.0075]]), tensor([[-0.0263]]), tensor([[0.0254]]), tensor([[-0.0466]]), tensor([[-0.0214]]), tensor([[-0.0992]]), tensor([[-0.0832]]), tensor([[0.0202]]), tensor([[-0.0817]]), tensor([[-0.0183]]), tensor([[-0.0683]]), tensor([[-0.0643]]), tensor([[-0.0415]]), tensor([[-0.0745]]), tensor([[-0.0214]]), tensor([[0.0163]]), tensor([[-0.0191]]), tensor([[-0.0004]]), tensor([[-0.0088]]), tensor([[-0.0896]]), tensor([[-0.0160]]), tensor([[-0.0297]]), tensor([[-0.0122]]), tensor([[-0.0081]]), tensor([[-0.0982]]), tensor([[-0.0510]]), tensor([[-0.0372]]), tensor([[-0.0319]]), tensor([[-0.0169]]), tensor([[-0.1342]]), tensor([[-0.0133]]), tensor([[-0.0355]]), tensor([[0.0234]]), tensor([[0.0316]]), tensor([[0.0611]]), tensor([[-0.0542]]), tensor([[-0.0319]]), tensor([[-0.0985]]), tensor([[0.0161]]), tensor([[-0.0216]]), tensor([[-0.0244]]), tensor([[-0.0833]]), tensor([[-0.0017]]), tensor([[-0.0071]]), tensor([[-0.1318]]), tensor([[-0.0526]]), tensor([[-0.0516]]), tensor([[0.0628]]), tensor([[-0.0426]]), tensor([[-0.0166]]), tensor([[-0.0768]]), tensor([[-0.0164]]), tensor([[0.0225]]), tensor([[-0.1359]]), tensor([[0.0036]]), tensor([[0.0013]]), tensor([[-0.0576]]), tensor([[-0.0819]]), tensor([[-0.0471]]), tensor([[0.0086]]), tensor([[-0.0600]]), tensor([[0.0893]]), tensor([[-0.0142]]), tensor([[0.0847]]), tensor([[0.0747]]), tensor([[0.0348]]), tensor([[-0.0465]]), tensor([[0.0290]]), tensor([[-0.0993]]), tensor([[-0.0286]]), tensor([[0.0925]]), tensor([[-0.0061]]), tensor([[-0.0048]]), tensor([[-0.0495]]), tensor([[-0.0666]]), tensor([[-0.0747]]), tensor([[0.0064]]), tensor([[0.0717]]), tensor([[-0.0707]]), tensor([[-0.0387]]), tensor([[0.0653]]), tensor([[0.0820]]), tensor([[0.0659]]), tensor([[0.0534]]), tensor([[0.0664]]), tensor([[-0.0884]]), tensor([[-0.0369]]), tensor([[0.0141]]), tensor([[-0.0292]]), tensor([[-0.0291]]), tensor([[-0.0850]]), tensor([[-0.0208]]), tensor([[0.0121]]), tensor([[-0.0379]]), tensor([[-0.0154]]), tensor([[-0.0565]]), tensor([[-0.0246]]), tensor([[0.0216]]), tensor([[0.0013]]), tensor([[0.0121]]), tensor([[-0.0158]]), tensor([[-0.0150]]), tensor([[-0.0537]]), tensor([[-0.0677]]), tensor([[-0.0963]]), tensor([[0.0387]]), tensor([[0.0020]]), tensor([[-0.0264]]), tensor([[-0.0491]]), tensor([[0.0065]]), tensor([[-0.0630]]), tensor([[0.0081]]), tensor([[0.0627]]), tensor([[-0.0510]]), tensor([[-0.1277]]), tensor([[-0.1112]]), tensor([[-0.0303]]), tensor([[0.0733]]), tensor([[0.0449]]), tensor([[-0.0372]]), tensor([[-0.0047]]), tensor([[-0.0223]]), tensor([[0.0305]]), tensor([[0.0033]]), tensor([[0.0011]]), tensor([[0.0554]]), tensor([[-0.0889]]), tensor([[0.0636]]), tensor([[-0.0392]]), tensor([[-0.0800]]), tensor([[-0.0378]])]"
3,social issues,"[tensor([[0.0798]]), tensor([[0.0273]]), tensor([[-0.0141]]), tensor([[0.1823]]), tensor([[0.1066]]), tensor([[-0.0202]]), tensor([[0.1636]]), tensor([[0.1641]]), tensor([[0.0717]]), tensor([[-0.0103]]), tensor([[-0.0875]]), tensor([[-0.0108]]), tensor([[0.1145]]), tensor([[0.0578]]), tensor([[-0.0062]]), tensor([[0.1746]]), tensor([[0.2322]]), tensor([[0.1482]]), tensor([[0.0872]]), tensor([[0.1011]]), tensor([[0.0765]]), tensor([[-0.0506]]), tensor([[-0.0002]]), tensor([[0.0717]]), tensor([[-0.0066]]), tensor([[0.0121]]), tensor([[-0.0756]]), tensor([[0.0246]]), tensor([[-0.0021]]), tensor([[-0.0382]]), tensor([[-0.0735]]), tensor([[-0.0242]]), tensor([[-0.0140]]), tensor([[0.0384]]), tensor([[0.0069]]), tensor([[-0.0081]]), tensor([[0.0525]]), tensor([[-0.0284]]), tensor([[0.0391]]), tensor([[-0.1024]]), tensor([[-0.0467]]), tensor([[0.0005]]), tensor([[-0.0458]]), tensor([[0.0350]]), tensor([[0.1421]]), tensor([[0.0512]]), tensor([[-0.0195]]), tensor([[0.0016]]), tensor([[-0.0933]]), tensor([[-0.0338]]), tensor([[-0.0549]]), tensor([[-0.0327]]), tensor([[-0.0193]]), tensor([[0.0374]]), tensor([[0.0919]]), tensor([[0.0397]]), tensor([[0.1182]]), tensor([[-0.0286]]), tensor([[0.0119]]), tensor([[0.1339]]), tensor([[0.0664]]), tensor([[0.0655]]), tensor([[-0.0506]]), tensor([[0.0681]]), tensor([[0.0478]]), tensor([[0.0301]]), tensor([[-0.0525]]), tensor([[-0.0499]]), tensor([[-0.0046]]), tensor([[-0.0844]]), tensor([[-0.0122]]), tensor([[0.0645]]), tensor([[0.0525]]), tensor([[-0.0203]]), tensor([[-0.0466]]), tensor([[-0.0103]]), tensor([[-0.0754]]), tensor([[-0.0421]]), tensor([[-0.0010]]), tensor([[0.0263]]), tensor([[0.0473]]), tensor([[0.1055]]), tensor([[0.0525]]), tensor([[0.0263]]), tensor([[-0.0584]]), tensor([[0.1155]]), tensor([[-0.0326]]), tensor([[0.1024]]), tensor([[0.0844]]), tensor([[0.0248]]), tensor([[0.0361]]), tensor([[-0.0309]]), tensor([[0.0207]]), tensor([[0.0560]]), tensor([[0.0081]]), tensor([[0.0161]]), tensor([[-0.0389]]), tensor([[0.0215]]), tensor([[-0.0112]]), tensor([[-0.0300]]), tensor([[0.0536]]), tensor([[0.0370]]), tensor([[0.0399]]), tensor([[-0.0792]]), tensor([[0.0161]]), tensor([[-0.1230]]), tensor([[-0.1213]]), tensor([[-0.1423]]), tensor([[0.1834]]), tensor([[0.0728]]), tensor([[0.1565]]), tensor([[0.0240]]), tensor([[-0.0578]]), tensor([[-0.0061]]), tensor([[-0.1011]]), tensor([[-0.0237]]), tensor([[0.0291]]), tensor([[-0.0189]]), tensor([[-0.0303]]), tensor([[-0.0805]]), tensor([[-0.0070]]), tensor([[-0.0310]]), tensor([[0.0053]]), tensor([[-0.0070]]), tensor([[-0.0192]]), tensor([[0.1273]]), tensor([[0.1168]]), tensor([[0.0150]]), tensor([[0.0758]]), tensor([[0.1128]]), tensor([[-0.0708]]), tensor([[0.0201]]), tensor([[0.0263]]), tensor([[0.0509]]), tensor([[-0.0774]]), tensor([[-0.0001]]), tensor([[-0.0071]]), tensor([[-0.0593]]), tensor([[-0.0007]]), tensor([[0.0011]]), tensor([[-0.0555]]), tensor([[-0.0803]]), tensor([[-0.0297]]), tensor([[-0.0179]]), tensor([[0.0113]]), tensor([[-0.0060]]), tensor([[-0.0357]]), tensor([[0.0128]]), tensor([[0.0614]]), tensor([[0.0784]]), tensor([[0.0719]]), tensor([[0.0049]]), tensor([[0.0048]]), tensor([[-0.0820]]), tensor([[-0.0664]]), tensor([[0.0766]]), tensor([[0.0335]]), tensor([[-0.0195]]), tensor([[-0.0990]]), tensor([[0.1102]]), tensor([[-0.0374]]), tensor([[-0.0158]]), tensor([[-0.0047]]), tensor([[0.0019]]), tensor([[0.0067]]), tensor([[0.0578]]), tensor([[0.0222]]), tensor([[0.0201]]), tensor([[0.0485]]), tensor([[0.0056]]), tensor([[0.0665]]), tensor([[0.0651]]), tensor([[0.0234]]), tensor([[0.1220]]), tensor([[-0.0442]]), tensor([[-0.0078]]), tensor([[-0.0544]]), tensor([[-0.0347]]), tensor([[-0.0329]]), tensor([[0.0163]]), tensor([[0.0445]]), tensor([[-0.0542]]), tensor([[-0.1564]]), tensor([[-0.0864]]), tensor([[-0.0895]]), tensor([[-0.0054]]), tensor([[-0.0042]]), tensor([[-0.0148]]), tensor([[-0.0191]]), tensor([[-0.0343]]), tensor([[0.0591]]), tensor([[0.0842]]), tensor([[-0.0152]]), tensor([[0.0651]]), tensor([[-0.0349]]), tensor([[-0.0086]]), tensor([[0.0544]]), tensor([[-0.0081]]), tensor([[-0.0876]])]"
4,labour law,"[tensor([[-0.0847]]), tensor([[0.0381]]), tensor([[-0.0194]]), tensor([[-0.0263]]), tensor([[0.0366]]), tensor([[0.0157]]), tensor([[0.0049]]), tensor([[-0.0271]]), tensor([[-0.0423]]), tensor([[-0.0233]]), tensor([[-0.0281]]), tensor([[0.0439]]), tensor([[-0.0448]]), tensor([[-0.0414]]), tensor([[0.0663]]), tensor([[0.0429]]), tensor([[0.0541]]), tensor([[-0.0300]]), tensor([[-0.0525]]), tensor([[-0.0645]]), tensor([[-0.0448]]), tensor([[-0.0775]]), tensor([[0.0070]]), tensor([[0.0440]]), tensor([[0.1645]]), tensor([[-0.0686]]), tensor([[-0.0820]]), tensor([[-0.0332]]), tensor([[0.0632]]), tensor([[-0.0390]]), tensor([[-0.0288]]), tensor([[-0.0654]]), tensor([[-0.1030]]), tensor([[0.0103]]), tensor([[0.0438]]), tensor([[0.0075]]), tensor([[0.1088]]), tensor([[0.0751]]), tensor([[0.1012]]), tensor([[-0.0450]]), tensor([[-0.0638]]), tensor([[0.0084]]), tensor([[0.0171]]), tensor([[-0.0428]]), tensor([[0.0566]]), tensor([[0.0983]]), tensor([[-0.0133]]), tensor([[0.0451]]), tensor([[-0.0141]]), tensor([[0.0227]]), tensor([[0.0389]]), tensor([[-0.0495]]), tensor([[-0.1075]]), tensor([[-0.0482]]), tensor([[-0.0330]]), tensor([[-0.0743]]), tensor([[-0.0392]]), tensor([[-0.0655]]), tensor([[-0.0535]]), tensor([[-0.0951]]), tensor([[-0.0100]]), tensor([[-0.0260]]), tensor([[-0.0775]]), tensor([[0.0460]]), tensor([[-0.0226]]), tensor([[-0.0375]]), tensor([[0.0620]]), tensor([[0.0491]]), tensor([[0.0398]]), tensor([[-0.0257]]), tensor([[-0.0055]]), tensor([[0.0025]]), tensor([[-0.0239]]), tensor([[-0.0732]]), tensor([[-0.0113]]), tensor([[-0.0250]]), tensor([[-0.0460]]), tensor([[0.0342]]), tensor([[0.0696]]), tensor([[0.0229]]), tensor([[0.1372]]), tensor([[0.0555]]), tensor([[-0.0239]]), tensor([[0.0170]]), tensor([[-0.0121]]), tensor([[0.0368]]), tensor([[0.0372]]), tensor([[0.1266]]), tensor([[0.0838]]), tensor([[-0.0369]]), tensor([[0.0170]]), tensor([[-0.0060]]), tensor([[-0.0119]]), tensor([[0.0148]]), tensor([[-0.0831]]), tensor([[-0.0422]]), tensor([[0.0496]]), tensor([[-0.0604]]), tensor([[-0.0411]]), tensor([[-0.0526]]), tensor([[-0.0971]]), tensor([[-0.0315]]), tensor([[0.0745]]), tensor([[-0.0764]]), tensor([[-0.0422]]), tensor([[-0.0534]]), tensor([[-0.0017]]), tensor([[0.0300]]), tensor([[0.0517]]), tensor([[-0.0977]]), tensor([[-0.0656]]), tensor([[-0.0694]]), tensor([[-0.0477]]), tensor([[0.0097]]), tensor([[0.0279]]), tensor([[0.0848]]), tensor([[0.0377]]), tensor([[-0.0050]]), tensor([[0.1333]]), tensor([[-0.0413]]), tensor([[-0.0502]]), tensor([[-0.0775]]), tensor([[-0.0289]]), tensor([[-0.0061]]), tensor([[-0.0620]]), tensor([[0.1525]]), tensor([[0.0191]]), tensor([[0.0608]]), tensor([[0.0170]]), tensor([[0.1395]]), tensor([[0.0130]]), tensor([[0.0863]]), tensor([[0.0217]]), tensor([[0.0124]]), tensor([[-0.0729]]), tensor([[-0.0512]]), tensor([[-0.0781]]), tensor([[0.0387]]), tensor([[-0.0106]]), tensor([[0.0242]]), tensor([[0.0287]]), tensor([[-0.0462]]), tensor([[-0.0142]]), tensor([[-0.0428]]), tensor([[0.0576]]), tensor([[0.1067]]), tensor([[0.1564]]), tensor([[0.0018]]), tensor([[0.1961]]), tensor([[0.2139]]), tensor([[0.0886]]), tensor([[0.0869]]), tensor([[0.2142]]), tensor([[0.0162]]), tensor([[0.0646]]), tensor([[-0.0318]]), tensor([[0.0096]]), tensor([[0.1258]]), tensor([[-0.1037]]), tensor([[0.1635]]), tensor([[0.0329]]), tensor([[0.0676]]), tensor([[0.1450]]), tensor([[0.2236]]), tensor([[0.1710]]), tensor([[0.1204]]), tensor([[0.1321]]), tensor([[0.1232]]), tensor([[-0.0672]]), tensor([[0.1101]]), tensor([[0.1778]]), tensor([[0.0274]]), tensor([[0.0162]]), tensor([[0.1425]]), tensor([[0.0465]]), tensor([[0.0613]]), tensor([[0.0049]]), tensor([[-0.0353]]), tensor([[-0.0642]]), tensor([[0.0239]]), tensor([[0.1455]]), tensor([[0.0185]]), tensor([[0.0114]]), tensor([[-0.0460]]), tensor([[-0.0507]]), tensor([[-0.0859]]), tensor([[0.0276]]), tensor([[0.0561]]), tensor([[-0.0546]]), tensor([[0.0182]]), tensor([[0.0049]]), tensor([[-0.0659]]), tensor([[0.0223]]), tensor([[0.0008]]), tensor([[-0.1104]]), tensor([[0.0180]]), tensor([[-0.0032]]), tensor([[0.0904]]), tensor([[-0.0029]])]"
