,Label,Cosine Similarity Mean
0,sustainability,"[tensor([[0.4325]]), tensor([[-0.0267]]), tensor([[0.0925]]), tensor([[0.0204]]), tensor([[0.3377]]), tensor([[0.5125]]), tensor([[0.4529]]), tensor([[0.2046]]), tensor([[0.5548]]), tensor([[0.5064]]), tensor([[0.2198]]), tensor([[0.2231]]), tensor([[-0.0559]]), tensor([[0.0248]]), tensor([[0.1961]]), tensor([[0.2270]]), tensor([[0.0049]]), tensor([[0.2308]]), tensor([[0.2897]]), tensor([[0.2877]]), tensor([[0.2135]]), tensor([[0.1961]]), tensor([[0.1380]]), tensor([[0.1223]]), tensor([[0.2864]]), tensor([[0.2211]]), tensor([[-0.0953]]), tensor([[0.0283]]), tensor([[0.0890]]), tensor([[-0.0208]]), tensor([[0.4012]]), tensor([[0.2878]]), tensor([[0.2916]]), tensor([[0.0544]]), tensor([[0.1622]]), tensor([[0.1270]]), tensor([[0.1740]]), tensor([[0.1347]]), tensor([[0.0578]]), tensor([[0.1534]]), tensor([[0.0307]]), tensor([[-0.0105]]), tensor([[-0.0260]]), tensor([[0.0603]]), tensor([[0.0579]]), tensor([[0.1279]]), tensor([[0.1403]]), tensor([[0.1935]]), tensor([[0.1089]]), tensor([[0.0880]]), tensor([[-0.0573]]), tensor([[-0.0553]]), tensor([[0.0319]]), tensor([[0.0356]]), tensor([[-0.0710]]), tensor([[0.0748]]), tensor([[0.0596]]), tensor([[0.1531]]), tensor([[-0.0829]]), tensor([[0.0768]]), tensor([[0.0236]]), tensor([[0.0943]]), tensor([[0.1506]]), tensor([[0.0439]]), tensor([[0.0751]]), tensor([[0.0320]]), tensor([[0.0085]]), tensor([[0.0389]]), tensor([[-0.0642]]), tensor([[0.1240]]), tensor([[0.1208]]), tensor([[-0.0489]]), tensor([[-0.0706]]), tensor([[0.1391]]), tensor([[-0.0194]]), tensor([[-0.0069]]), tensor([[0.0596]]), tensor([[-0.0594]]), tensor([[0.1093]]), tensor([[0.0046]]), tensor([[-0.0803]]), tensor([[-0.0810]]), tensor([[0.0105]]), tensor([[0.1484]]), tensor([[0.0138]]), tensor([[0.0193]]), tensor([[0.0038]]), tensor([[0.0134]]), tensor([[-0.0286]]), tensor([[0.1342]]), tensor([[0.1054]]), tensor([[0.0217]]), tensor([[0.0403]]), tensor([[0.1025]]), tensor([[-0.1009]]), tensor([[-0.0947]]), tensor([[-0.0501]]), tensor([[0.0190]]), tensor([[0.0250]]), tensor([[0.1234]]), tensor([[0.1449]]), tensor([[0.1396]]), tensor([[0.1391]]), tensor([[0.0723]]), tensor([[0.0321]]), tensor([[0.0403]]), tensor([[0.0330]]), tensor([[-0.0080]]), tensor([[-0.0504]]), tensor([[-0.0546]]), tensor([[-0.0514]]), tensor([[0.1636]]), tensor([[0.1450]]), tensor([[-0.0032]]), tensor([[0.0596]]), tensor([[0.0324]]), tensor([[0.0391]]), tensor([[0.1724]]), tensor([[-0.1084]]), tensor([[0.1132]]), tensor([[0.4781]]), tensor([[0.2037]]), tensor([[0.5021]]), tensor([[0.2376]]), tensor([[0.0810]]), tensor([[0.2156]]), tensor([[0.0607]]), tensor([[0.1375]]), tensor([[0.0823]]), tensor([[0.0410]]), tensor([[0.3842]]), tensor([[0.3373]]), tensor([[0.3364]]), tensor([[0.1480]]), tensor([[0.5319]]), tensor([[0.2283]]), tensor([[0.1150]]), tensor([[-0.0324]]), tensor([[0.3033]]), tensor([[0.1236]]), tensor([[0.0981]]), tensor([[0.3451]]), tensor([[0.3407]]), tensor([[0.2809]]), tensor([[0.0278]]), tensor([[0.1766]]), tensor([[0.2172]]), tensor([[0.2114]]), tensor([[0.1346]]), tensor([[0.3449]]), tensor([[0.1433]]), tensor([[0.1251]]), tensor([[0.0525]]), tensor([[0.0072]]), tensor([[0.0358]]), tensor([[-0.1294]]), tensor([[0.1028]]), tensor([[0.1006]]), tensor([[0.1263]]), tensor([[0.1338]]), tensor([[0.1299]]), tensor([[0.2620]]), tensor([[0.1722]]), tensor([[0.0971]]), tensor([[0.1342]]), tensor([[0.1346]]), tensor([[0.1656]]), tensor([[0.0593]]), tensor([[0.0810]]), tensor([[0.0657]]), tensor([[0.0992]]), tensor([[-0.0315]]), tensor([[0.1975]]), tensor([[0.0346]]), tensor([[0.1312]]), tensor([[0.0155]]), tensor([[0.0737]]), tensor([[-0.0374]]), tensor([[-0.0206]]), tensor([[0.1387]]), tensor([[0.1449]]), tensor([[0.0643]]), tensor([[-0.0235]]), tensor([[0.0368]]), tensor([[0.0144]]), tensor([[-0.0893]]), tensor([[0.0156]]), tensor([[0.1262]]), tensor([[-0.0061]]), tensor([[0.2488]]), tensor([[-0.0392]]), tensor([[0.0576]]), tensor([[0.0782]]), tensor([[0.0185]]), tensor([[0.0038]]), tensor([[0.1239]]), tensor([[0.2320]]), tensor([[-0.0073]]), tensor([[0.0424]]), tensor([[0.4231]]), tensor([[0.3656]]), tensor([[-0.0240]]), tensor([[0.0048]]), tensor([[0.0977]]), tensor([[0.2519]]), tensor([[0.0537]]), tensor([[-0.0027]]), tensor([[0.1675]]), tensor([[0.1942]]), tensor([[0.2006]]), tensor([[0.2398]]), tensor([[0.2200]]), tensor([[0.0636]]), tensor([[0.4497]]), tensor([[-0.1487]]), tensor([[0.2274]]), tensor([[0.1423]]), tensor([[0.4183]]), tensor([[0.1479]]), tensor([[0.0439]]), tensor([[0.3717]])]"
1,human rights,"[tensor([[0.1296]]), tensor([[-0.0703]]), tensor([[0.1353]]), tensor([[-0.0927]]), tensor([[0.0778]]), tensor([[0.3176]]), tensor([[0.1961]]), tensor([[0.0521]]), tensor([[0.1637]]), tensor([[0.1431]]), tensor([[0.0557]]), tensor([[0.0328]]), tensor([[-0.1200]]), tensor([[-0.1321]]), tensor([[-0.0505]]), tensor([[0.0012]]), tensor([[-0.0813]]), tensor([[0.0783]]), tensor([[-0.0276]]), tensor([[0.1667]]), tensor([[0.0541]]), tensor([[-0.0516]]), tensor([[0.0662]]), tensor([[-0.1094]]), tensor([[0.0800]]), tensor([[0.0646]]), tensor([[-0.0616]]), tensor([[-0.1142]]), tensor([[-0.0620]]), tensor([[-0.0603]]), tensor([[0.0924]]), tensor([[0.0269]]), tensor([[0.0755]]), tensor([[-0.0031]]), tensor([[0.0852]]), tensor([[-0.0429]]), tensor([[-0.0549]]), tensor([[0.1120]]), tensor([[0.0089]]), tensor([[0.0504]]), tensor([[-0.0574]]), tensor([[-0.0986]]), tensor([[0.0327]]), tensor([[-0.0238]]), tensor([[-0.0190]]), tensor([[0.0589]]), tensor([[0.2287]]), tensor([[0.1487]]), tensor([[0.1276]]), tensor([[-0.0157]]), tensor([[0.0210]]), tensor([[-0.0755]]), tensor([[0.0031]]), tensor([[0.0627]]), tensor([[0.0002]]), tensor([[-0.0756]]), tensor([[-0.0435]]), tensor([[-0.0487]]), tensor([[-0.0928]]), tensor([[-0.0630]]), tensor([[-0.0439]]), tensor([[-0.0222]]), tensor([[0.0307]]), tensor([[-0.0334]]), tensor([[-0.0052]]), tensor([[0.1658]]), tensor([[-0.0131]]), tensor([[0.2386]]), tensor([[-0.0960]]), tensor([[-0.0027]]), tensor([[0.0431]]), tensor([[-0.0998]]), tensor([[-0.0755]]), tensor([[0.0017]]), tensor([[-0.0452]]), tensor([[-0.0521]]), tensor([[-0.0077]]), tensor([[-0.1078]]), tensor([[0.2428]]), tensor([[-0.0156]]), tensor([[-0.0847]]), tensor([[-0.0975]]), tensor([[-0.0852]]), tensor([[0.0928]]), tensor([[0.0422]]), tensor([[-0.0263]]), tensor([[-0.0146]]), tensor([[0.0407]]), tensor([[0.0240]]), tensor([[-0.0258]]), tensor([[0.2343]]), tensor([[0.2688]]), tensor([[0.2929]]), tensor([[0.1878]]), tensor([[0.0097]]), tensor([[0.0358]]), tensor([[0.0244]]), tensor([[0.1642]]), tensor([[0.1123]]), tensor([[0.0301]]), tensor([[0.0719]]), tensor([[0.1810]]), tensor([[0.0838]]), tensor([[-0.0631]]), tensor([[0.0336]]), tensor([[0.0506]]), tensor([[0.0632]]), tensor([[0.1015]]), tensor([[-0.0716]]), tensor([[-0.0048]]), tensor([[-0.0265]]), tensor([[0.0556]]), tensor([[0.1857]]), tensor([[0.0532]]), tensor([[0.1871]]), tensor([[0.0793]]), tensor([[0.0373]]), tensor([[0.2262]]), tensor([[-0.0495]]), tensor([[-0.0465]]), tensor([[0.1605]]), tensor([[0.1449]]), tensor([[0.0774]]), tensor([[0.0566]]), tensor([[-0.0282]]), tensor([[0.0040]]), tensor([[-0.0155]]), tensor([[-0.0191]]), tensor([[0.0557]]), tensor([[0.0110]]), tensor([[0.0610]]), tensor([[0.1394]]), tensor([[0.0404]]), tensor([[-0.0614]]), tensor([[0.1290]]), tensor([[-0.0266]]), tensor([[-0.0128]]), tensor([[0.0129]]), tensor([[0.0555]]), tensor([[-0.0129]]), tensor([[-0.0178]]), tensor([[0.0314]]), tensor([[0.0780]]), tensor([[-0.0203]]), tensor([[-0.0292]]), tensor([[0.1001]]), tensor([[-0.0199]]), tensor([[0.0543]]), tensor([[-0.0608]]), tensor([[0.1383]]), tensor([[0.1327]]), tensor([[0.0494]]), tensor([[-0.0940]]), tensor([[-0.1080]]), tensor([[-0.0019]]), tensor([[-0.0930]]), tensor([[0.0005]]), tensor([[-0.0069]]), tensor([[0.0498]]), tensor([[0.0230]]), tensor([[0.0643]]), tensor([[-0.0043]]), tensor([[0.0285]]), tensor([[0.1257]]), tensor([[0.1708]]), tensor([[0.1383]]), tensor([[0.0029]]), tensor([[-0.0414]]), tensor([[-0.0048]]), tensor([[-0.0822]]), tensor([[0.0327]]), tensor([[-0.0657]]), tensor([[0.0047]]), tensor([[-0.0390]]), tensor([[0.0675]]), tensor([[0.0777]]), tensor([[0.0625]]), tensor([[0.0832]]), tensor([[0.1046]]), tensor([[0.0922]]), tensor([[-0.0349]]), tensor([[0.0585]]), tensor([[-0.0832]]), tensor([[-0.0334]]), tensor([[-0.1049]]), tensor([[-0.0207]]), tensor([[-0.0097]]), tensor([[0.1259]]), tensor([[0.0106]]), tensor([[0.2108]]), tensor([[0.0170]]), tensor([[0.0850]]), tensor([[0.1059]]), tensor([[0.0491]]), tensor([[-0.0596]]), tensor([[-0.0672]]), tensor([[0.0749]]), tensor([[-0.0976]]), tensor([[-0.0368]]), tensor([[0.0523]]), tensor([[-0.0172]]), tensor([[-0.1296]]), tensor([[-0.1194]]), tensor([[0.0400]]), tensor([[0.0616]]), tensor([[-0.0183]]), tensor([[-0.0939]]), tensor([[-0.0528]]), tensor([[0.1017]]), tensor([[0.0507]]), tensor([[0.1345]]), tensor([[0.0584]]), tensor([[0.0384]]), tensor([[0.1718]]), tensor([[0.0631]]), tensor([[0.1061]]), tensor([[-0.0249]]), tensor([[0.0508]]), tensor([[0.0388]]), tensor([[0.0310]]), tensor([[0.1125]])]"
2,fraud,"[tensor([[-0.0876]]), tensor([[-0.1069]]), tensor([[-0.0311]]), tensor([[-0.1076]]), tensor([[-0.0928]]), tensor([[0.0058]]), tensor([[-0.0884]]), tensor([[-0.0015]]), tensor([[-0.0573]]), tensor([[-0.0646]]), tensor([[-0.0479]]), tensor([[-0.0475]]), tensor([[-0.0480]]), tensor([[-0.0368]]), tensor([[-0.0101]]), tensor([[-0.0922]]), tensor([[-0.1827]]), tensor([[-0.0059]]), tensor([[-0.1170]]), tensor([[-0.0455]]), tensor([[-0.1147]]), tensor([[-0.0735]]), tensor([[0.0621]]), tensor([[-0.0925]]), tensor([[-0.0390]]), tensor([[0.0045]]), tensor([[-0.0326]]), tensor([[0.0171]]), tensor([[-0.1260]]), tensor([[0.0198]]), tensor([[-0.1006]]), tensor([[-0.0881]]), tensor([[0.0308]]), tensor([[0.0385]]), tensor([[0.0590]]), tensor([[-0.0379]]), tensor([[-0.0423]]), tensor([[0.1057]]), tensor([[-0.0411]]), tensor([[-0.0291]]), tensor([[0.0504]]), tensor([[-0.0545]]), tensor([[-0.0465]]), tensor([[0.1451]]), tensor([[-0.0648]]), tensor([[0.0369]]), tensor([[0.1039]]), tensor([[0.0851]]), tensor([[0.0194]]), tensor([[-0.0149]]), tensor([[-0.0931]]), tensor([[-0.0663]]), tensor([[-0.1055]]), tensor([[-0.0513]]), tensor([[-0.0485]]), tensor([[-0.0271]]), tensor([[-0.0913]]), tensor([[-0.0435]]), tensor([[-0.0646]]), tensor([[-0.0454]]), tensor([[-0.0455]]), tensor([[-0.0799]]), tensor([[-0.0918]]), tensor([[-0.0084]]), tensor([[-0.0790]]), tensor([[-0.0049]]), tensor([[-0.0161]]), tensor([[0.0269]]), tensor([[0.0345]]), tensor([[-0.0070]]), tensor([[-0.0634]]), tensor([[-0.1409]]), tensor([[-0.1013]]), tensor([[-0.0125]]), tensor([[-0.0495]]), tensor([[-0.0262]]), tensor([[-0.0433]]), tensor([[-0.0467]]), tensor([[-0.0426]]), tensor([[-0.0842]]), tensor([[-0.0433]]), tensor([[0.0273]]), tensor([[-0.0474]]), tensor([[-0.0542]]), tensor([[-0.1050]]), tensor([[-0.0487]]), tensor([[-0.0809]]), tensor([[-0.1355]]), tensor([[-0.0665]]), tensor([[-0.0641]]), tensor([[0.1435]]), tensor([[-0.0297]]), tensor([[0.0036]]), tensor([[0.2383]]), tensor([[-0.0693]]), tensor([[0.0674]]), tensor([[0.0832]]), tensor([[0.1232]]), tensor([[0.0499]]), tensor([[0.0382]]), tensor([[0.0570]]), tensor([[0.0729]]), tensor([[-0.0542]]), tensor([[-0.0876]]), tensor([[-0.0938]]), tensor([[-0.0768]]), tensor([[-0.0590]]), tensor([[-0.1289]]), tensor([[0.0281]]), tensor([[0.0541]]), tensor([[-0.0541]]), tensor([[-0.0202]]), tensor([[0.0398]]), tensor([[-0.0133]]), tensor([[0.0653]]), tensor([[-0.0066]]), tensor([[-0.0220]]), tensor([[0.0557]]), tensor([[0.0247]]), tensor([[-0.1208]]), tensor([[-0.0608]]), tensor([[-0.0830]]), tensor([[-0.0853]]), tensor([[-0.1110]]), tensor([[-0.0597]]), tensor([[0.0100]]), tensor([[-0.0475]]), tensor([[-0.0310]]), tensor([[-0.0034]]), tensor([[-0.0664]]), tensor([[-0.0593]]), tensor([[0.0017]]), tensor([[0.0203]]), tensor([[-0.0844]]), tensor([[-0.0005]]), tensor([[-0.0294]]), tensor([[0.0110]]), tensor([[-0.0919]]), tensor([[-0.0352]]), tensor([[-0.0521]]), tensor([[-0.0671]]), tensor([[0.0038]]), tensor([[0.0286]]), tensor([[0.0390]]), tensor([[-0.0947]]), tensor([[-0.0374]]), tensor([[-0.1086]]), tensor([[0.1170]]), tensor([[-0.0185]]), tensor([[0.0278]]), tensor([[0.0580]]), tensor([[-0.0111]]), tensor([[-0.0312]]), tensor([[-0.0588]]), tensor([[0.0749]]), tensor([[-0.1227]]), tensor([[0.0459]]), tensor([[-0.0278]]), tensor([[-0.0262]]), tensor([[-0.0917]]), tensor([[0.0085]]), tensor([[-0.0677]]), tensor([[0.1064]]), tensor([[-0.0014]]), tensor([[-0.0327]]), tensor([[-0.0175]]), tensor([[-0.0669]]), tensor([[-0.0803]]), tensor([[0.0414]]), tensor([[-0.1101]]), tensor([[0.0932]]), tensor([[0.0068]]), tensor([[-0.0022]]), tensor([[-0.0367]]), tensor([[0.0094]]), tensor([[0.1152]]), tensor([[0.1389]]), tensor([[0.1571]]), tensor([[0.0454]]), tensor([[0.0327]]), tensor([[-0.0354]]), tensor([[-0.0328]]), tensor([[-0.0415]]), tensor([[-0.0104]]), tensor([[-0.0760]]), tensor([[-0.0689]]), tensor([[-0.1157]]), tensor([[0.0198]]), tensor([[0.0445]]), tensor([[0.1369]]), tensor([[-0.0584]]), tensor([[0.1062]]), tensor([[0.0610]]), tensor([[0.0595]]), tensor([[-0.0877]]), tensor([[-0.0079]]), tensor([[-0.0435]]), tensor([[-0.0080]]), tensor([[0.1884]]), tensor([[-0.0776]]), tensor([[-0.0650]]), tensor([[-0.0587]]), tensor([[-0.0125]]), tensor([[-0.0191]]), tensor([[-0.0215]]), tensor([[-0.1285]]), tensor([[-0.0230]]), tensor([[-0.0534]]), tensor([[0.0528]]), tensor([[-0.0026]]), tensor([[0.0354]]), tensor([[0.0682]]), tensor([[0.1042]]), tensor([[-0.0696]]), tensor([[-0.1330]]), tensor([[-0.0508]]), tensor([[0.0184]]), tensor([[-0.1176]]), tensor([[0.0633]]), tensor([[0.0863]]), tensor([[0.0319]])]"
3,social issues,"[tensor([[0.1185]]), tensor([[-0.0438]]), tensor([[0.0595]]), tensor([[-0.0319]]), tensor([[0.1155]]), tensor([[0.3298]]), tensor([[0.2390]]), tensor([[0.1138]]), tensor([[0.1900]]), tensor([[0.1303]]), tensor([[0.0587]]), tensor([[-0.0044]]), tensor([[-0.0497]]), tensor([[-0.0815]]), tensor([[-0.0182]]), tensor([[-0.0138]]), tensor([[-0.0282]]), tensor([[0.1081]]), tensor([[0.0223]]), tensor([[0.0358]]), tensor([[0.0390]]), tensor([[-0.0420]]), tensor([[0.0553]]), tensor([[-0.0854]]), tensor([[0.0909]]), tensor([[0.0847]]), tensor([[-0.0531]]), tensor([[-0.0255]]), tensor([[-0.0670]]), tensor([[-0.0640]]), tensor([[0.1283]]), tensor([[0.0953]]), tensor([[0.1139]]), tensor([[-0.0105]]), tensor([[0.0927]]), tensor([[-0.0195]]), tensor([[-0.0471]]), tensor([[0.1739]]), tensor([[0.0405]]), tensor([[0.0476]]), tensor([[-0.0150]]), tensor([[-0.0410]]), tensor([[-0.0200]]), tensor([[0.0435]]), tensor([[-0.0590]]), tensor([[-0.0199]]), tensor([[0.0847]]), tensor([[0.0159]]), tensor([[0.1058]]), tensor([[-0.0104]]), tensor([[-0.0349]]), tensor([[-0.0884]]), tensor([[-0.0670]]), tensor([[0.0705]]), tensor([[-0.0966]]), tensor([[0.0229]]), tensor([[-0.0378]]), tensor([[0.0248]]), tensor([[-0.0833]]), tensor([[-0.0020]]), tensor([[-0.0245]]), tensor([[0.0112]]), tensor([[0.0102]]), tensor([[-0.0580]]), tensor([[0.0361]]), tensor([[0.2411]]), tensor([[0.0368]]), tensor([[0.0798]]), tensor([[-0.0396]]), tensor([[0.0565]]), tensor([[0.0872]]), tensor([[-0.1339]]), tensor([[-0.0441]]), tensor([[0.0660]]), tensor([[0.0012]]), tensor([[-0.0057]]), tensor([[0.0617]]), tensor([[-0.0619]]), tensor([[0.0850]]), tensor([[-0.0552]]), tensor([[-0.0088]]), tensor([[-0.0493]]), tensor([[0.0106]]), tensor([[0.0579]]), tensor([[0.0102]]), tensor([[-0.0237]]), tensor([[-0.0180]]), tensor([[0.0295]]), tensor([[-0.1302]]), tensor([[0.1057]]), tensor([[0.2169]]), tensor([[0.1103]]), tensor([[0.2653]]), tensor([[0.1099]]), tensor([[-0.0031]]), tensor([[0.0230]]), tensor([[-0.0424]]), tensor([[0.0205]]), tensor([[0.1301]]), tensor([[0.0787]]), tensor([[0.1646]]), tensor([[0.1877]]), tensor([[0.2328]]), tensor([[0.0029]]), tensor([[-0.0553]]), tensor([[0.0417]]), tensor([[0.1300]]), tensor([[0.0725]]), tensor([[0.0183]]), tensor([[-0.0162]]), tensor([[-0.0120]]), tensor([[0.0492]]), tensor([[0.0696]]), tensor([[0.0101]]), tensor([[0.0812]]), tensor([[0.0127]]), tensor([[-0.0809]]), tensor([[0.1077]]), tensor([[-0.0919]]), tensor([[-0.0075]]), tensor([[0.1279]]), tensor([[0.0142]]), tensor([[0.0798]]), tensor([[-0.0127]]), tensor([[-0.0379]]), tensor([[0.0141]]), tensor([[0.0404]]), tensor([[0.0383]]), tensor([[0.0567]]), tensor([[0.0115]]), tensor([[0.0947]]), tensor([[0.0956]]), tensor([[0.0356]]), tensor([[0.0203]]), tensor([[0.1596]]), tensor([[0.0415]]), tensor([[0.0287]]), tensor([[-0.0545]]), tensor([[0.0335]]), tensor([[-0.0400]]), tensor([[-0.0104]]), tensor([[-0.0270]]), tensor([[0.0598]]), tensor([[0.0153]]), tensor([[-0.0468]]), tensor([[-0.0086]]), tensor([[-0.0689]]), tensor([[0.0304]]), tensor([[-0.0018]]), tensor([[0.0614]]), tensor([[0.1663]]), tensor([[0.0587]]), tensor([[0.0271]]), tensor([[-0.0458]]), tensor([[0.0402]]), tensor([[-0.1150]]), tensor([[0.1253]]), tensor([[0.0406]]), tensor([[0.0314]]), tensor([[0.0056]]), tensor([[0.1181]]), tensor([[-0.0082]]), tensor([[0.1238]]), tensor([[0.0383]]), tensor([[0.0023]]), tensor([[0.1843]]), tensor([[0.0150]]), tensor([[0.1891]]), tensor([[0.0219]]), tensor([[0.0030]]), tensor([[0.0728]]), tensor([[-0.0346]]), tensor([[0.0711]]), tensor([[0.0203]]), tensor([[0.0376]]), tensor([[0.0905]]), tensor([[0.0823]]), tensor([[0.0274]]), tensor([[-0.0344]]), tensor([[0.1051]]), tensor([[-0.0027]]), tensor([[0.0007]]), tensor([[-0.0303]]), tensor([[-0.0271]]), tensor([[-0.0307]]), tensor([[-0.0493]]), tensor([[-0.0135]]), tensor([[0.0775]]), tensor([[-0.0334]]), tensor([[0.1470]]), tensor([[0.0043]]), tensor([[0.0841]]), tensor([[0.0836]]), tensor([[0.0292]]), tensor([[-0.0894]]), tensor([[-0.0068]]), tensor([[0.0540]]), tensor([[-0.0382]]), tensor([[0.0591]]), tensor([[0.1026]]), tensor([[0.0657]]), tensor([[-0.0240]]), tensor([[-0.0042]]), tensor([[0.0090]]), tensor([[-0.0118]]), tensor([[-0.0064]]), tensor([[0.0124]]), tensor([[-0.0105]]), tensor([[0.0877]]), tensor([[0.1029]]), tensor([[0.1302]]), tensor([[0.1421]]), tensor([[0.1700]]), tensor([[0.1535]]), tensor([[0.0144]]), tensor([[0.1472]]), tensor([[0.0617]]), tensor([[0.1316]]), tensor([[0.0517]]), tensor([[0.0799]]), tensor([[0.1000]])]"
4,labour law,"[tensor([[-0.0447]]), tensor([[-0.0821]]), tensor([[0.1522]]), tensor([[0.0359]]), tensor([[-0.0459]]), tensor([[0.1386]]), tensor([[-0.0084]]), tensor([[-0.0505]]), tensor([[-0.0555]]), tensor([[0.0208]]), tensor([[-0.0225]]), tensor([[-0.0328]]), tensor([[0.0113]]), tensor([[-0.0228]]), tensor([[-0.0667]]), tensor([[0.0765]]), tensor([[-0.0284]]), tensor([[0.0887]]), tensor([[-0.0696]]), tensor([[0.0177]]), tensor([[-0.0578]]), tensor([[-0.0888]]), tensor([[0.0331]]), tensor([[-0.1356]]), tensor([[0.0169]]), tensor([[0.1802]]), tensor([[0.0243]]), tensor([[0.0179]]), tensor([[-0.0760]]), tensor([[0.0763]]), tensor([[-0.0394]]), tensor([[-0.0421]]), tensor([[0.0711]]), tensor([[0.0174]]), tensor([[0.0168]]), tensor([[-0.0453]]), tensor([[-0.0208]]), tensor([[0.0638]]), tensor([[-0.0661]]), tensor([[-0.0291]]), tensor([[0.0073]]), tensor([[-0.0469]]), tensor([[-0.0083]]), tensor([[0.0729]]), tensor([[0.0274]]), tensor([[0.0082]]), tensor([[0.2575]]), tensor([[0.1785]]), tensor([[0.1135]]), tensor([[0.0405]]), tensor([[0.1333]]), tensor([[0.0050]]), tensor([[0.0163]]), tensor([[0.0796]]), tensor([[0.0050]]), tensor([[-0.0243]]), tensor([[-0.0157]]), tensor([[-0.0530]]), tensor([[0.0382]]), tensor([[-0.0487]]), tensor([[-0.0466]]), tensor([[-0.0476]]), tensor([[0.0421]]), tensor([[0.0007]]), tensor([[0.0177]]), tensor([[0.2403]]), tensor([[0.0353]]), tensor([[0.2971]]), tensor([[0.0491]]), tensor([[-0.0215]]), tensor([[0.2313]]), tensor([[-0.0935]]), tensor([[0.0027]]), tensor([[0.1294]]), tensor([[0.1034]]), tensor([[-0.0092]]), tensor([[0.1441]]), tensor([[0.1381]]), tensor([[0.1313]]), tensor([[-0.0720]]), tensor([[0.0527]]), tensor([[0.1887]]), tensor([[0.1073]]), tensor([[0.2307]]), tensor([[0.1845]]), tensor([[0.1888]]), tensor([[0.3118]]), tensor([[0.2727]]), tensor([[-0.0259]]), tensor([[0.0040]]), tensor([[0.4015]]), tensor([[0.4630]]), tensor([[0.2132]]), tensor([[0.1259]]), tensor([[0.1884]]), tensor([[0.2191]]), tensor([[0.2730]]), tensor([[0.2548]]), tensor([[0.1902]]), tensor([[0.0543]]), tensor([[0.1796]]), tensor([[0.3311]]), tensor([[0.1087]]), tensor([[0.0376]]), tensor([[-0.0068]]), tensor([[0.1327]]), tensor([[0.3457]]), tensor([[0.3675]]), tensor([[0.0956]]), tensor([[0.1878]]), tensor([[0.0984]]), tensor([[0.1611]]), tensor([[0.2100]]), tensor([[0.0755]]), tensor([[0.2968]]), tensor([[0.1338]]), tensor([[0.0606]]), tensor([[0.1301]]), tensor([[-0.0273]]), tensor([[-0.0483]]), tensor([[0.1307]]), tensor([[0.0534]]), tensor([[-0.0057]]), tensor([[0.0861]]), tensor([[0.0085]]), tensor([[-0.0167]]), tensor([[-0.0147]]), tensor([[-0.0156]]), tensor([[0.1570]]), tensor([[-0.0771]]), tensor([[-0.0689]]), tensor([[0.0368]]), tensor([[-0.0292]]), tensor([[-0.0575]]), tensor([[-0.0218]]), tensor([[-0.0817]]), tensor([[-0.0829]]), tensor([[0.0337]]), tensor([[0.0148]]), tensor([[-0.0335]]), tensor([[-0.0486]]), tensor([[0.0227]]), tensor([[0.1355]]), tensor([[0.1110]]), tensor([[-0.1459]]), tensor([[-0.0165]]), tensor([[-0.0828]]), tensor([[0.0508]]), tensor([[-0.0042]]), tensor([[0.1029]]), tensor([[0.1806]]), tensor([[0.1785]]), tensor([[-0.0078]]), tensor([[-0.0751]]), tensor([[0.1365]]), tensor([[-0.0313]]), tensor([[0.0547]]), tensor([[-0.0567]]), tensor([[0.1337]]), tensor([[-0.0833]]), tensor([[0.1088]]), tensor([[-0.0600]]), tensor([[-0.0171]]), tensor([[0.0755]]), tensor([[0.1375]]), tensor([[0.1603]]), tensor([[-0.0270]]), tensor([[-0.0129]]), tensor([[0.0377]]), tensor([[0.0359]]), tensor([[0.1443]]), tensor([[0.0257]]), tensor([[0.0264]]), tensor([[0.0138]]), tensor([[0.0066]]), tensor([[0.0340]]), tensor([[0.1045]]), tensor([[0.1281]]), tensor([[0.1890]]), tensor([[0.0050]]), tensor([[-0.1206]]), tensor([[0.0810]]), tensor([[-0.0507]]), tensor([[-0.0157]]), tensor([[-0.0876]]), tensor([[-0.1145]]), tensor([[0.0182]]), tensor([[0.1666]]), tensor([[0.1553]]), tensor([[0.2998]]), tensor([[0.0330]]), tensor([[0.0854]]), tensor([[0.2346]]), tensor([[0.1478]]), tensor([[0.0979]]), tensor([[-0.1122]]), tensor([[-0.0183]]), tensor([[0.0029]]), tensor([[0.0624]]), tensor([[-0.0794]]), tensor([[-0.0406]]), tensor([[0.0199]]), tensor([[0.0293]]), tensor([[0.0383]]), tensor([[-0.0102]]), tensor([[0.0125]]), tensor([[-0.1098]]), tensor([[-0.0461]]), tensor([[0.0978]]), tensor([[0.0344]]), tensor([[0.1088]]), tensor([[0.0347]]), tensor([[0.0572]]), tensor([[0.0601]]), tensor([[0.0763]]), tensor([[0.0457]]), tensor([[-0.0250]]), tensor([[-0.0862]]), tensor([[0.1360]]), tensor([[0.0653]]), tensor([[0.1356]])]"
